Date,VZ
2023-01-03,32.22380828857422
2023-01-04,33.03502655029297
2023-01-05,33.49284744262695
2023-01-06,33.88640213012695
2023-01-09,33.75016784667969
2023-01-10,34.22332763671875
2023-01-11,33.59516143798828
2023-01-12,34.109130859375
2023-01-13,34.14991760253906
2023-01-17,33.3259391784668
2023-01-18,32.60802459716797
2023-01-19,32.68144989013672
2023-01-20,32.63249969482422
2023-01-23,32.33064651489258
2023-01-24,32.97513198852539
2023-01-25,32.90171432495117
2023-01-26,32.85277557373047
2023-01-27,33.15462112426758
2023-01-30,33.489105224609375
2023-01-31,33.913326263427734
2023-02-01,34.01122283935547
2023-02-02,34.12543869018555
2023-02-03,33.864376068115234
2023-02-06,33.67674255371094
2023-02-07,33.08119201660156
2023-02-08,33.05672073364258
2023-02-09,32.47749328613281
2023-02-10,32.64066696166992
2023-02-13,32.8935661315918
2023-02-14,32.90171432495117
2023-02-15,32.94251251220703
2023-02-16,32.50197219848633
2023-02-17,32.811981201171875
2023-02-21,31.9798526763916
2023-02-22,32.045108795166016
2023-02-23,31.43325424194336
2023-02-24,31.604581832885742
2023-02-27,31.718788146972656
2023-02-28,31.661684036254883
2023-03-01,31.245624542236328
2023-03-02,31.335355758666992
2023-03-03,31.212982177734375
2023-03-06,31.123258590698242
2023-03-07,30.927453994750977
2023-03-08,30.61744499206543
2023-03-09,29.81794548034668
2023-03-10,29.923999786376953
2023-03-13,29.809791564941406
2023-03-14,30.087167739868164
2023-03-15,30.2340145111084
2023-03-16,29.842422485351562
2023-03-17,30.013742446899414
2023-03-20,30.53586196899414
2023-03-21,30.788759231567383
2023-03-22,30.437963485717773
2023-03-23,30.486913681030273
2023-03-24,30.723499298095703
2023-03-27,31.04166603088379
2023-03-28,31.000877380371094
2023-03-29,31.392459869384766
2023-03-30,31.539310455322266
2023-03-31,31.72694969177246
2023-04-03,31.996171951293945
2023-04-04,32.34696960449219
2023-04-05,32.72223663330078
2023-04-06,32.74131393432617
2023-04-10,32.63350296020508
2023-04-11,32.7164306640625
2023-04-12,32.50910568237305
2023-04-13,32.60862350463867
2023-04-14,32.52569580078125
2023-04-17,32.724727630615234
2023-04-18,32.29347229003906
2023-04-19,32.01151657104492
2023-04-20,30.842182159423828
2023-04-21,30.949996948242188
2023-04-24,30.767547607421875
2023-04-25,30.933408737182617
2023-04-26,30.618267059326172
2023-04-27,32.16908645629883
2023-04-28,32.20226287841797
2023-05-01,32.102745056152344
2023-05-02,31.240253448486328
2023-05-03,31.49734115600586
2023-05-04,30.974876403808594
2023-05-05,31.372943878173828
2023-05-08,31.372943878173828
2023-05-09,31.15732192993164
2023-05-10,31.207090377807617
2023-05-11,31.18220329284668
2023-05-12,31.173912048339844
2023-05-15,30.493871688842773
2023-05-16,29.896770477294922
2023-05-17,30.004575729370117
2023-05-18,29.96311378479004
2023-05-19,29.896770477294922
2023-05-22,29.82213020324707
2023-05-23,30.054338455200195
2023-05-24,29.747493743896484
2023-05-25,28.876708984375
2023-05-26,29.02598762512207
2023-05-30,28.94305992126465
2023-05-31,29.548460006713867
2023-06-01,29.623098373413086
2023-06-02,28.677675247192383
2023-06-05,28.578155517578125
2023-06-06,28.77719497680664
2023-06-07,29.241605758666992
2023-06-08,29.38258934020996
2023-06-09,29.4157657623291
2023-06-12,29.531869888305664
2023-06-13,29.424057006835938
2023-06-14,29.631385803222656
2023-06-15,30.220199584960938
2023-06-16,30.23678207397461
2023-06-20,29.697734832763672
2023-06-21,29.714319229125977
2023-06-22,29.73090171813965
2023-06-23,29.44894027709961
2023-06-26,29.946523666381836
2023-06-27,30.31142234802246
2023-06-28,30.53533935546875
2023-06-29,30.67632293701172
2023-06-30,30.842182159423828
2023-07-03,30.916824340820312
2023-07-05,31.082683563232422
2023-07-06,30.792428970336914
2023-07-07,30.305347442626953
2023-07-10,29.663782119750977
2023-07-11,29.53716278076172
2023-07-12,29.42742156982422
2023-07-13,29.2417049407959
2023-07-14,28.709880828857422
2023-07-17,26.557273864746094
2023-07-18,27.241044998168945
2023-07-19,28.676116943359375
2023-07-20,28.397544860839844
2023-07-21,28.600141525268555
2023-07-24,28.684553146362305
2023-07-25,28.904043197631836
2023-07-26,28.98845672607422
2023-07-27,28.32156753540039
2023-07-28,28.726764678955078
2023-07-31,28.76897430419922
2023-08-01,28.22026824951172
2023-08-02,28.127408981323242
2023-08-03,27.907930374145508
2023-08-04,27.5364990234375
2023-08-07,27.460525512695312
2023-08-08,27.494295120239258
2023-08-09,27.612476348876953
2023-08-10,27.874164581298828
2023-08-11,28.161176681518555
2023-08-14,28.33001136779785
2023-08-15,28.076763153076172
2023-08-16,28.085205078125
2023-08-17,27.907930374145508
2023-08-18,28.009233474731445
2023-08-21,27.85727882385254
2023-08-22,28.02611541748047
2023-08-23,28.017671585083008
2023-08-24,28.178064346313477
2023-08-25,28.152732849121094
2023-08-28,28.32156753540039
2023-08-29,29.283912658691406
2023-08-30,29.2417049407959
2023-08-31,29.528715133666992
2023-09-01,29.42742156982422
2023-09-05,28.95468521118164
2023-09-06,28.8533878326416
2023-09-07,28.54105567932129
2023-09-08,28.237154006958008
2023-09-11,28.650794982910156
2023-09-12,28.735206604003906
2023-09-13,28.583253860473633
2023-09-14,28.735206604003906
2023-09-15,28.524168014526367
2023-09-18,28.3046875
2023-09-19,28.194944381713867
2023-09-20,28.363779067993164
2023-09-21,28.102088928222656
