Date,BMY
2023-01-03,62.53108596801758
2023-01-04,62.84261703491211
2023-01-05,62.729225158691406
2023-01-06,63.67121887207031
2023-01-09,61.93552017211914
2023-01-10,62.493751525878906
2023-01-11,62.746681213378906
2023-01-12,62.450130462646484
2023-01-13,63.24383544921875
2023-01-17,63.069393157958984
2023-01-18,62.921119689941406
2023-01-19,64.32536315917969
2023-01-20,64.67425537109375
2023-01-23,63.897987365722656
2023-01-24,63.09554672241211
2023-01-25,63.81948471069336
2023-01-26,63.66249084472656
2023-01-27,63.19149398803711
2023-01-30,62.825164794921875
2023-01-31,63.365936279296875
2023-02-01,62.12740707397461
2023-02-02,63.47060012817383
2023-02-03,64.9359130859375
2023-02-06,65.00569152832031
2023-02-07,64.99696350097656
2023-02-08,64.23814392089844
2023-02-09,62.35417938232422
2023-02-10,62.973445892333984
2023-02-13,63.81948471069336
2023-02-14,63.01705551147461
2023-02-15,62.336734771728516
2023-02-16,61.795963287353516
2023-02-17,62.02273941040039
2023-02-21,62.118690490722656
2023-02-22,62.19717788696289
2023-02-23,62.275672912597656
2023-02-24,61.211578369140625
2023-02-27,61.045860290527344
2023-02-28,60.14749526977539
2023-03-01,60.496376037597656
2023-03-02,60.348106384277344
2023-03-03,60.44404983520508
2023-03-06,60.09516906738281
2023-03-07,59.31016540527344
2023-03-08,58.69089889526367
2023-03-09,58.010581970214844
2023-03-10,57.31282043457031
2023-03-13,57.56574630737305
2023-03-14,57.9756965637207
2023-03-15,58.85663604736328
2023-03-16,58.525177001953125
2023-03-17,58.02802276611328
2023-03-20,58.64728546142578
2023-03-21,58.88279342651367
2023-03-22,58.64728546142578
2023-03-23,58.42051696777344
2023-03-24,59.031063079833984
2023-03-27,59.371238708496094
2023-03-28,59.4846076965332
2023-03-29,59.4671745300293
2023-03-30,59.4846076965332
2023-03-31,60.452762603759766
2023-04-03,60.78419876098633
2023-04-04,60.103885650634766
2023-04-05,60.8975830078125
2023-04-06,62.2078742980957
2023-04-10,61.803348541259766
2023-04-11,61.583518981933594
2023-04-12,61.74179458618164
2023-04-13,62.16391372680664
2023-04-14,61.95284652709961
2023-04-17,62.08476638793945
2023-04-18,61.759395599365234
2023-04-19,61.43402862548828
2023-04-20,61.14381408691406
2023-04-21,61.988040924072266
2023-04-24,62.03201675415039
2023-04-25,61.76818084716797
2023-04-26,59.815948486328125
2023-04-27,59.45539474487305
2023-04-28,58.716712951660156
2023-05-01,60.150115966796875
2023-05-02,59.88629913330078
2023-05-03,58.602394104003906
2023-05-04,58.760677337646484
2023-05-05,59.92147445678711
2023-05-08,60.15891647338867
2023-05-09,59.79835510253906
2023-05-10,60.22925567626953
2023-05-11,60.74809265136719
2023-05-12,59.851112365722656
2023-05-15,59.94784927368164
2023-05-16,58.93655776977539
2023-05-17,58.50565719604492
2023-05-18,57.775753021240234
2023-05-19,57.89887237548828
2023-05-22,57.87249755859375
2023-05-23,58.50565719604492
2023-05-24,57.57351303100586
2023-05-25,56.773258209228516
2023-05-26,56.12251663208008
2023-05-30,56.02578353881836
2023-05-31,56.66773986816406
2023-06-01,56.878787994384766
2023-06-02,57.74059295654297
2023-06-05,58.021995544433594
2023-06-06,57.58230209350586
2023-06-07,57.300899505615234
2023-06-08,57.43280029296875
2023-06-09,56.98432159423828
2023-06-12,56.94914245605469
2023-06-13,56.94914245605469
2023-06-14,56.421512603759766
2023-06-15,56.869998931884766
2023-06-16,58.1802864074707
2023-06-20,58.065956115722656
2023-06-21,57.599891662597656
2023-06-22,57.42401123046875
2023-06-23,57.19537353515625
2023-06-26,56.97551345825195
2023-06-27,56.94034194946289
2023-06-28,56.359947204589844
2023-06-29,56.28080749511719
2023-06-30,56.236839294433594
2023-07-03,56.65894317626953
2023-07-05,56.922760009765625
2023-07-06,56.283973693847656
2023-07-07,55.58308792114258
2023-07-10,55.4322624206543
2023-07-11,55.70729446411133
2023-07-12,55.254817962646484
2023-07-13,55.254817962646484
2023-07-14,54.95317077636719
2023-07-17,54.87332534790039
2023-07-18,55.006412506103516
2023-07-19,55.05963897705078
2023-07-20,56.576751708984375
2023-07-21,57.38410568237305
