Date,JPM
2023-01-03,124.92870330810547
2023-01-04,126.0936508178711
2023-01-05,126.06574249267578
2023-01-06,128.47805786132812
2023-01-09,127.94715881347656
2023-01-10,129.09280395507812
2023-01-11,130.05215454101562
2023-01-12,129.92172241210938
2023-01-13,133.20030212402344
2023-01-17,131.1418914794922
2023-01-18,127.20206451416016
2023-01-19,125.50689697265625
2023-01-20,125.81425476074219
2023-01-23,127.8540267944336
2023-01-24,128.95306396484375
2023-01-25,129.57711791992188
2023-01-26,130.37811279296875
2023-01-27,130.69480895996094
2023-01-30,129.58642578125
2023-01-31,130.35948181152344
2023-02-01,130.014892578125
2023-02-02,129.4095001220703
2023-02-03,131.41195678710938
2023-02-06,132.18507385253906
2023-02-07,133.79637145996094
2023-02-08,132.8556671142578
2023-02-09,130.78793334960938
2023-02-10,131.36541748046875
2023-02-13,132.7904510498047
2023-02-14,133.3772430419922
2023-02-15,133.93614196777344
2023-02-16,132.0919189453125
2023-02-17,132.4831085205078
2023-02-21,130.05215454101562
2023-02-22,129.05552673339844
2023-02-23,130.08938598632812
2023-02-24,131.26296997070312
2023-02-27,132.40859985351562
2023-02-28,133.51698303222656
2023-03-01,132.7718505859375
2023-03-02,131.3933563232422
2023-03-03,133.80569458007812
2023-03-06,133.02333068847656
2023-03-07,129.11143493652344
2023-03-08,128.34765625
2023-03-09,121.39937591552734
2023-03-10,124.48231506347656
2023-03-13,122.24695587158203
2023-03-14,125.38580322265625
2023-03-15,119.4620590209961
2023-03-16,121.78125
2023-03-17,117.18011474609375
2023-03-20,118.41889190673828
2023-03-21,121.59500122070312
2023-03-22,118.45613098144531
2023-03-23,118.13946533203125
2023-03-24,116.34185791015625
2023-03-27,119.6762924194336
2023-03-28,120.03954315185547
2023-03-29,120.28170013427734
2023-03-30,119.91846466064453
2023-03-31,121.3714370727539
2023-04-03,121.23173522949219
2023-04-04,119.611083984375
2023-04-05,119.78944396972656
2023-04-06,119.65801239013672
2023-04-10,120.05227661132812
2023-04-11,120.6436767578125
2023-04-12,120.62488555908203
2023-04-13,121.0848617553711
2023-04-14,130.22796630859375
2023-04-17,131.26052856445312
2023-04-18,132.7342987060547
2023-04-19,132.5653533935547
2023-04-20,132.18048095703125
2023-04-21,131.927001953125
2023-04-24,132.10537719726562
2023-04-25,129.23292541503906
2023-04-26,126.94245147705078
2023-04-27,128.6509246826172
2023-04-28,129.76797485351562
2023-05-01,132.5465850830078
2023-05-02,130.4062957763672
2023-05-03,127.64649200439453
2023-05-04,125.90045928955078
2023-05-05,128.3599090576172
2023-05-08,128.66970825195312
2023-05-09,128.05014038085938
2023-05-10,128.11582946777344
2023-05-11,127.71222686767578
2023-05-12,125.8817138671875
2023-05-15,126.94245147705078
2023-05-16,126.08824157714844
2023-05-17,129.96510314941406
