Date,AIG
2023-01-03,58.86159896850586
2023-01-04,59.731475830078125
2023-01-05,59.40410614013672
2023-01-06,60.376869201660156
2023-01-09,59.7408332824707
2023-01-10,59.34798812866211
2023-01-11,59.35734558105469
2023-01-12,59.56312561035156
2023-01-13,60.24592208862305
2023-01-17,59.656654357910156
2023-01-18,58.18815994262695
2023-01-19,57.72983169555664
2023-01-20,58.431339263916016
2023-01-23,59.020606994628906
2023-01-24,59.07673263549805
2023-01-25,59.394752502441406
2023-01-26,59.843711853027344
2023-01-27,59.235748291015625
2023-01-30,59.08608627319336
2023-01-31,59.13285827636719
2023-02-01,57.271514892578125
2023-02-02,55.213741302490234
2023-02-03,54.951839447021484
2023-02-06,56.08361053466797
2023-02-07,56.691593170166016
2023-02-08,57.028316497802734
2023-02-09,56.93478012084961
2023-02-10,57.35569381713867
2023-02-13,57.95431900024414
2023-02-14,57.542762756347656
2023-02-15,57.83272171020508
2023-02-16,58.141387939453125
2023-02-17,56.88801193237305
2023-02-21,55.859130859375
2023-02-22,56.73835754394531
2023-02-23,56.41098403930664
2023-02-24,56.2800407409668
2023-02-27,56.729007720947266
2023-02-28,57.159271240234375
2023-03-01,57.01896286010742
2023-03-02,56.14909362792969
2023-03-03,56.30809783935547
2023-03-06,56.43904495239258
2023-03-07,54.708656311035156
2023-03-08,53.64234924316406
2023-03-09,52.19255065917969
2023-03-10,49.713871002197266
2023-03-13,46.83299255371094
2023-03-14,47.81510925292969
2023-03-15,44.85940170288086
2023-03-16,47.26057434082031
2023-03-17,44.48276138305664
2023-03-20,45.998779296875
2023-03-21,48.258697509765625
2023-03-22,45.90461730957031
2023-03-23,44.40742492675781
2023-03-24,44.5769157409668
2023-03-27,44.68991470336914
2023-03-28,44.727569580078125
2023-03-29,45.8575325012207
2023-03-30,46.91217041015625
2023-03-31,47.420654296875
2023-04-03,47.477149963378906
2023-04-04,46.959259033203125
2023-04-05,47.307655334472656
2023-04-06,48.0986328125
2023-04-10,48.12687683105469
2023-04-11,48.21162033081055
2023-04-12,48.324615478515625
2023-04-13,48.60710525512695
2023-04-14,48.43760681152344
2023-04-17,48.88959884643555
2023-04-18,49.3980827331543
2023-04-19,50.06663131713867
2023-04-20,49.28508377075195
2023-04-21,48.54118728637695
2023-04-24,48.795433044433594
2023-04-25,47.97621154785156
2023-04-26,47.844383239746094
2023-04-27,49.09675598144531
2023-04-28,49.94422149658203
2023-05-01,49.99130630493164
2023-05-02,48.89901351928711
2023-05-03,48.35287094116211
2023-05-04,46.96866989135742
2023-05-05,50.650447845458984
2023-05-08,50.61278533935547
2023-05-09,50.00072479248047
2023-05-10,49.53932189941406
2023-05-11,49.7276496887207
2023-05-12,49.42632293701172
2023-05-15,49.47340774536133
2023-05-16,49.256832122802734
2023-05-17,50.60336685180664
2023-05-18,51.14011001586914
2023-05-19,50.706947326660156
2023-05-22,50.810523986816406
2023-05-23,52.51488494873047
2023-05-24,51.38492202758789
2023-05-25,50.546875
2023-05-26,50.91410446166992
2023-05-30,51.52617263793945
2023-05-31,49.746482849121094
2023-06-01,50.60336685180664
2023-06-02,51.978153228759766
2023-06-05,51.06477737426758
2023-06-06,52.66554260253906
2023-06-07,53.418853759765625
2023-06-08,53.3246955871582
2023-06-09,53.560096740722656
2023-06-12,52.93861770629883
2023-06-13,53.3246955871582
2023-06-14,52.5807991027832
2023-06-15,53.66122817993164
2023-06-16,54.30569076538086
2023-06-20,53.149444580078125
2023-06-21,53.509586334228516
2023-06-22,53.04520034790039
2023-06-23,52.33438491821289
2023-06-26,52.76087188720703
2023-06-27,53.50010681152344
2023-06-28,53.509586334228516
2023-06-29,54.21091842651367
2023-06-30,54.53315734863281
2023-07-03,54.91224670410156
2023-07-05,54.694271087646484
2023-07-06,54.59001159667969
2023-07-07,55.158660888671875
2023-07-10,55.04493713378906
2023-07-11,55.67991638183594
2023-07-12,55.58514404296875
2023-07-13,55.81260299682617
2023-07-14,54.63739776611328
2023-07-17,56.01163101196289
2023-07-18,56.267513275146484
2023-07-19,56.03058624267578
2023-07-20,57.092063903808594
2023-07-21,56.81721496582031
2023-07-24,57.11100769042969
2023-07-25,56.76034927368164
2023-07-26,57.660701751708984
2023-07-27,57.471160888671875
2023-07-28,57.016239166259766
2023-07-31,57.12997055053711
2023-08-01,57.22474670410156
2023-08-02,58.068233489990234
2023-08-03,57.94502258300781
2023-08-04,57.5185432434082
2023-08-07,58.67478942871094
2023-08-08,58.28622055053711
2023-08-09,57.186832427978516
2023-08-10,57.26264572143555
2023-08-11,57.366905212402344
2023-08-14,56.69401168823242
2023-08-15,55.708351135253906
2023-08-16,55.5472412109375
2023-08-17,55.025978088378906
2023-08-18,54.92172622680664
2023-08-21,54.77009201049805
2023-08-22,54.34360122680664
2023-08-23,54.608970642089844
2023-08-24,55.05440902709961
2023-08-25,54.82695007324219
2023-08-28,54.845909118652344
2023-08-29,55.30082321166992
2023-08-30,55.291343688964844
2023-08-31,55.461944580078125
2023-09-01,56.144317626953125
2023-09-05,55.537757873535156
2023-09-06,56.096923828125
2023-09-07,56.53289031982422
2023-09-08,56.54237365722656
2023-09-11,56.57080078125
2023-09-12,57.40481185913086
2023-09-13,57.480628967285156
2023-09-14,58.34822463989258
2023-09-15,58.329158782958984
2023-09-18,58.80586242675781
2023-09-19,59.45417404174805
2023-09-20,59.416038513183594
2023-09-21,58.472171783447266
2023-09-22,58.71052551269531
2023-09-25,59.23489761352539
2023-09-26,58.405426025390625
2023-09-27,58.16707992553711
2023-09-28,58.424503326416016
2023-09-29,57.776187896728516
2023-10-02,57.25181198120117
2023-10-03,55.90751647949219
2023-10-04,56.593971252441406
2023-10-05,57.34716033935547
2023-10-06,58.03360366821289
2023-10-09,58.24335861206055
2023-10-10,58.31962203979492
2023-10-11,58.66284942626953
2023-10-12,58.291019439697266
2023-10-13,58.24335861206055
2023-10-16,59.69252014160156
2023-10-17,60.235965728759766
2023-10-18,59.682987213134766
2023-10-19,58.31962203979492
2023-10-20,56.74650573730469
2023-10-23,56.23167419433594
2023-10-24,57.080204010009766
2023-10-25,58.11941146850586
2023-10-26,58.0145378112793
2023-10-27,56.756046295166016
2023-10-30,58.15755081176758
2023-10-31,58.45310592651367
2023-11-01,59.15861511230469
2023-11-02,61.3609733581543
2023-11-03,60.769866943359375
2023-11-06,60.96055221557617
2023-11-07,60.15969467163086
2023-11-08,59.66392135620117
2023-11-09,59.92134475708008
2023-11-10,60.84614181518555
2023-11-13,60.76033020019531
2023-11-14,61.21797180175781
2023-11-15,60.5219841003418
2023-11-16,61.132164001464844
2023-11-17,61.47539138793945
2023-11-20,61.3609733581543
2023-11-21,61.94254684448242
2023-11-22,61.94254684448242
2023-11-24,62.1713752746582
2023-11-27,62.20950698852539
2023-11-28,61.627933502197266
2023-11-29,61.809085845947266
2023-11-30,62.74341583251953
2023-12-01,62.89596939086914
2023-12-04,62.924560546875
2023-12-05,62.8292236328125
2023-12-06,62.32391357421875
2023-12-07,62.362056732177734
2023-12-08,62.4764518737793
2023-12-11,63.096187591552734
2023-12-12,63.83028793334961
2023-12-13,64.44377136230469
2023-12-14,63.734432220458984
2023-12-15,63.27433776855469
2023-12-18,63.7056770324707
2023-12-19,64.64506530761719
2023-12-20,63.85905075073242
2023-12-21,63.81113052368164
2023-12-22,64.15620422363281
2023-12-26,64.34790802001953
2023-12-27,64.3670883178711
2023-12-28,65.0572509765625
2023-12-29,64.94221496582031
2024-01-02,65.98704528808594
2024-01-03,65.76657104492188
2024-01-04,65.78575897216797
2024-01-05,66.14999389648438
2024-01-08,65.39273834228516
2024-01-09,65.0188980102539
2024-01-10,64.78885650634766
2024-01-11,64.50128936767578
2024-01-12,64.70258331298828
2024-01-16,64.43418884277344
2024-01-17,63.98366928100586
2024-01-18,64.45336151123047
2024-01-19,65.97745513916016
2024-01-22,66.3896484375
2024-01-23,66.14041137695312
2024-01-24,66.29379272460938
2024-01-25,66.12125396728516
2024-01-26,66.64844512939453
2024-01-29,66.49508666992188
2024-01-30,67.46322631835938
2024-01-31,66.62928771972656
2024-02-01,65.9678726196289
2024-02-02,66.74430084228516
2024-02-05,66.07331848144531
2024-02-06,65.9199447631836
2024-02-07,66.91685485839844
2024-02-08,65.57486724853516
2024-02-09,66.25543975830078
2024-02-12,66.84017181396484
2024-02-13,67.18524932861328
2024-02-14,66.3033676147461
2024-02-15,67.38653564453125
2024-02-16,67.13732147216797
2024-02-20,65.30646514892578
2024-02-21,65.83367919921875
2024-02-22,67.94249725341797
2024-02-23,68.36427307128906
2024-02-26,68.36427307128906
2024-02-27,68.96814727783203
2024-02-28,69.42826080322266
2024-02-29,69.86920928955078
2024-03-01,69.8212661743164
2024-03-04,70.1375961303711
2024-03-05,70.85650634765625
2024-03-06,71.74797058105469
2024-03-07,71.62335968017578
2024-03-08,71.32621002197266
2024-03-11,71.80548858642578
2024-03-12,72.74486541748047
2024-03-13,72.70634460449219
2024-03-14,73.05306243896484
2024-03-15,73.45758819580078
2024-03-18,72.56187438964844
2024-03-19,72.70634460449219
2024-03-20,73.91024780273438
2024-03-21,74.55554962158203
2024-03-22,73.56352996826172
2024-03-25,73.76577758789062
2024-03-26,74.53628540039062
2024-03-27,75.45124816894531
2024-03-28,75.28751373291016
2024-04-01,74.77706146240234
2024-04-02,75.14305114746094
2024-04-03,74.9311752319336
2024-04-04,73.79468536376953
2024-04-05,74.844482421875
2024-04-08,74.97932434082031
2024-04-09,72.73523712158203
2024-04-10,72.54261016845703
2024-04-11,71.43502807617188
2024-04-12,70.96308898925781
2024-04-15,70.35631561279297
2024-04-16,71.08829498291016
2024-04-17,69.90365600585938
2024-04-18,70.29853057861328
2024-04-19,71.49281311035156
2024-04-22,72.19588470458984
2024-04-23,72.16699981689453
2024-04-24,72.20551300048828
2024-04-25,71.8780517578125
2024-04-26,71.78175354003906
2024-04-29,72.94713592529297
2024-04-30,72.5329818725586
2024-05-01,73.01454162597656
2024-05-02,75.22010803222656
2024-05-03,75.5860824584961
2024-05-06,77.02114868164062
2024-05-07,77.31971740722656
2024-05-08,76.944091796875
2024-05-09,76.93446350097656
2024-05-10,77.1559829711914
2024-05-13,76.07727813720703
2024-05-14,76.51069641113281
2024-05-15,75.9906005859375
2024-05-16,75.83650207519531
2024-05-17,77.57013702392578
2024-05-20,75.88465881347656
2024-05-21,75.77871704101562
2024-05-22,76.000244140625
2024-05-23,74.71927642822266
2024-05-24,75.15267944335938
2024-05-28,74.50737762451172
2024-05-29,74.70964050292969
2024-05-30,75.36457824707031
2024-05-31,75.91355895996094
2024-06-03,75.43199157714844
2024-06-04,73.82356262207031
2024-06-05,73.10122680664062
