Date,TMUS
2023-01-03,133.68453979492188
2023-01-04,134.56910705566406
2023-01-05,138.91502380371094
2023-01-06,142.84747314453125
2023-01-09,143.039794921875
2023-01-10,143.79933166503906
2023-01-11,143.06863403320312
2023-01-12,144.13589477539062
2023-01-13,143.91473388671875
2023-01-17,141.31871032714844
2023-01-18,140.2803192138672
2023-01-19,139.54957580566406
2023-01-20,139.5303497314453
2023-01-23,138.80926513671875
2023-01-24,140.19381713867188
2023-01-25,142.3667449951172
2023-01-26,142.96286010742188
2023-01-27,141.07835388183594
2023-01-30,141.31871032714844
2023-01-31,143.55897521972656
2023-02-01,145.15505981445312
2023-02-02,141.2898712158203
2023-02-03,139.59767150878906
2023-02-06,136.50169372558594
2023-02-07,137.482421875
2023-02-08,138.27081298828125
2023-02-09,137.34779357910156
2023-02-10,138.16505432128906
2023-02-13,140.9341278076172
2023-02-14,141.80908203125
2023-02-15,141.86676025390625
2023-02-16,141.07835388183594
2023-02-17,143.59744262695312
2023-02-21,141.42446899414062
2023-02-22,141.6552734375
2023-02-23,139.15538024902344
2023-02-24,138.8477020263672
2023-02-27,138.57852172851562
2023-02-28,136.70358276367188
2023-03-01,135.8478546142578
2023-03-02,135.71327209472656
2023-03-03,136.43441772460938
2023-03-06,138.18429565429688
2023-03-07,137.3670196533203
2023-03-08,137.6650848388672
2023-03-09,135.65560913085938
2023-03-10,134.13644409179688
2023-03-13,134.3479766845703
2023-03-14,137.5016326904297
2023-03-15,138.85731506347656
2023-03-16,136.05941772460938
2023-03-17,136.9632110595703
2023-03-20,140.00152587890625
2023-03-21,139.0977020263672
2023-03-22,137.934326171875
2023-03-23,136.8190155029297
2023-03-24,137.04971313476562
2023-03-27,138.3573455810547
2023-03-28,137.2901153564453
2023-03-29,138.27081298828125
2023-03-30,139.00155639648438
2023-03-31,139.26116943359375
2023-04-03,141.10719299316406
2023-04-04,140.67454528808594
2023-04-05,143.3762969970703
2023-04-06,143.84744262695312
2023-04-10,144.21279907226562
2023-04-11,144.17433166503906
2023-04-12,143.75128173828125
2023-04-13,144.578125
2023-04-14,143.82818603515625
2023-04-17,144.69351196289062
2023-04-18,144.5300750732422
2023-04-19,143.04937744140625
2023-04-20,140.3188018798828
2023-04-21,140.58798217773438
2023-04-24,140.2418975830078
2023-04-25,142.29945373535156
2023-04-26,142.5686492919922
2023-04-27,144.1647186279297
2023-04-28,138.3573455810547
2023-05-01,137.69393920898438
2023-05-02,134.95372009277344
2023-05-03,134.52105712890625
2023-05-04,135.81903076171875
2023-05-05,138.0304412841797
2023-05-08,138.62657165527344
2023-05-09,136.5593719482422
2023-05-10,136.5593719482422
2023-05-11,137.20359802246094
2023-05-12,138.56887817382812
2023-05-15,139.0496368408203
2023-05-16,138.16505432128906
2023-05-17,136.126708984375
2023-05-18,132.85768127441406
2023-05-19,133.67494201660156
2023-05-22,136.14596557617188
2023-05-23,135.92478942871094
2023-05-24,134.60757446289062
2023-05-25,130.53089904785156
2023-05-26,129.94435119628906
2023-05-30,129.91554260253906
2023-05-31,131.9635009765625
2023-06-01,133.55955505371094
2023-06-02,126.13692474365234
2023-06-05,127.12725067138672
2023-06-06,123.58898162841797
2023-06-07,121.67562866210938
2023-06-08,125.30044555664062
2023-06-09,126.30036926269531
2023-06-12,125.74271392822266
2023-06-13,124.87737274169922
2023-06-14,123.11785888671875
2023-06-15,127.64643096923828
2023-06-16,125.88692474365234
2023-06-20,126.17536163330078
2023-06-21,127.56952667236328
2023-06-22,129.16555786132812
2023-06-23,127.68489837646484
2023-06-26,129.6559295654297
2023-06-27,130.9250946044922
2023-06-28,131.02127075195312
2023-06-29,131.5692901611328
2023-06-30,133.5499267578125
2023-07-03,133.96336364746094
2023-07-05,134.1844940185547
2023-07-06,133.79991149902344
2023-07-07,133.6172332763672
2023-07-10,133.0115203857422
2023-07-11,134.62681579589844
2023-07-12,135.46327209472656
2023-07-13,135.27101135253906
2023-07-14,134.29989624023438
2023-07-17,132.68460083007812
2023-07-18,133.11727905273438
2023-07-19,132.2808074951172
2023-07-20,134.7037353515625
2023-07-21,135.47291564941406
2023-07-24,135.92478942871094
2023-07-25,136.98243713378906
2023-07-26,135.65560913085938
2023-07-27,134.49221801757812
2023-07-28,135.44406127929688
2023-07-31,132.46347045898438
2023-08-01,131.97312927246094
2023-08-02,130.5501251220703
2023-08-03,130.15591430664062
2023-08-04,129.41558837890625
2023-08-07,131.3865966796875
2023-08-08,131.0116424560547
2023-08-09,132.40579223632812
2023-08-10,132.4249725341797
2023-08-11,133.0115203857422
2023-08-14,134.1268310546875
2023-08-15,133.2422637939453
2023-08-16,132.92498779296875
2023-08-17,131.11737060546875
2023-08-18,130.896240234375
2023-08-21,130.3289794921875
2023-08-22,129.95401000976562
2023-08-23,131.0789337158203
2023-08-24,128.18487548828125
2023-08-25,128.21371459960938
2023-08-28,129.9732208251953
2023-08-29,131.47315979003906
2023-08-30,132.0980987548828
2023-08-31,131.0019989013672
2023-09-01,132.04042053222656
2023-09-05,131.6173858642578
2023-09-06,128.9636993408203
2023-09-07,131.99234008789062
2023-09-08,132.32888793945312
2023-09-11,134.8575439453125
2023-09-12,134.71336364746094
2023-09-13,136.04978942871094
2023-09-14,137.60739135742188
2023-09-15,136.46322631835938
2023-09-18,135.38636779785156
2023-09-19,136.98243713378906
2023-09-20,136.59783935546875
2023-09-21,134.59796142578125
2023-09-22,133.9826202392578
2023-09-25,134.6171875
2023-09-26,135.0498504638672
2023-09-27,134.31912231445312
2023-09-28,134.31912231445312
2023-09-29,134.65565490722656
2023-10-02,133.89608764648438
2023-10-03,131.17507934570312
2023-10-04,132.7423095703125
2023-10-05,132.13653564453125
2023-10-06,133.67494201660156
2023-10-09,134.74217224121094
2023-10-10,136.92477416992188
2023-10-11,137.60739135742188
2023-10-12,135.7036590576172
2023-10-13,136.21327209472656
2023-10-16,137.7227783203125
2023-10-17,137.27090454101562
2023-10-18,134.30950927734375
2023-10-19,132.53074645996094
2023-10-20,131.71353149414062
2023-10-23,132.43463134765625
2023-10-24,135.63636779785156
2023-10-25,135.5594482421875
2023-10-26,137.35740661621094
2023-10-27,134.60757446289062
2023-10-30,136.1171112060547
2023-10-31,138.3188934326172
2023-11-01,139.46307373046875
2023-11-02,140.85720825195312
2023-11-03,141.80908203125
2023-11-06,141.66485595703125
2023-11-07,141.4629669189453
2023-11-08,140.9918212890625
2023-11-09,141.23219299316406
2023-11-10,141.9244384765625
2023-11-13,141.53985595703125
2023-11-14,141.3475341796875
2023-11-15,141.5302276611328
2023-11-16,141.80908203125
2023-11-17,142.02061462402344
2023-11-20,142.78016662597656
2023-11-21,142.8859405517578
2023-11-22,143.17440795898438
2023-11-24,143.24168395996094
2023-11-27,143.06863403320312
2023-11-28,142.66481018066406
2023-11-29,143.7897186279297
2023-11-30,145.2865447998047
2023-12-01,147.02476501464844
2023-12-04,147.5558624267578
2023-12-05,148.71470642089844
2023-12-06,150.1632080078125
2023-12-07,150.99371337890625
2023-12-08,151.03231811523438
2023-12-11,153.3982696533203
2023-12-12,154.9336700439453
2023-12-13,154.07423400878906
2023-12-14,151.48622131347656
2023-12-15,150.79090881347656
2023-12-18,150.8971405029297
2023-12-19,150.52052307128906
2023-12-20,149.23614501953125
2023-12-21,149.6127471923828
2023-12-22,150.3660125732422
2023-12-26,151.44757080078125
2023-12-27,152.5194854736328
2023-12-28,153.4947967529297
2023-12-29,154.8274688720703
2024-01-02,156.35324096679688
2024-01-03,156.5174102783203
2024-01-04,156.72984313964844
2024-01-05,157.76312255859375
2024-01-08,157.80177307128906
2024-01-09,157.59896850585938
