Date,PEP
2023-01-03,162.4980926513672
2023-01-04,162.09954833984375
2023-01-05,160.40582275390625
2023-01-06,164.02879333496094
2023-01-09,162.42559814453125
2023-01-10,161.08514404296875
2023-01-11,161.26626586914062
2023-01-12,159.21026611328125
2023-01-13,158.7211151123047
2023-01-17,159.4638671875
2023-01-18,155.4423828125
2023-01-19,153.6399688720703
2023-01-20,153.8664093017578
2023-01-23,153.17803955078125
2023-01-24,154.60003662109375
2023-01-25,155.72314453125
2023-01-26,154.1743621826172
2023-01-27,153.6309356689453
2023-01-30,153.50411987304688
2023-01-31,154.89892578125
2023-02-01,155.3880615234375
2023-02-02,153.9479217529297
2023-02-03,153.17803955078125
2023-02-06,155.62353515625
2023-02-07,155.3880615234375
2023-02-08,155.0257568359375
2023-02-09,156.49302673339844
2023-02-10,159.59066772460938
2023-02-13,161.0126495361328
2023-02-14,159.20118713378906
2023-02-15,159.41854858398438
2023-02-16,158.9656982421875
2023-02-17,159.66311645507812
2023-02-21,159.57254028320312
2023-02-22,159.51820373535156
2023-02-23,159.69029235839844
2023-02-24,159.37326049804688
2023-02-27,159.3280029296875
2023-02-28,157.17234802246094
2023-03-01,155.17971801757812
2023-03-02,158.04296875
2023-03-03,157.88795471191406
2023-03-06,158.20706176757812
2023-03-07,157.4228973388672
2023-03-08,157.85147094726562
2023-03-09,156.65692138671875
2023-03-10,156.86666870117188
2023-03-13,158.3986053466797
2023-03-14,158.2344512939453
2023-03-15,161.06121826171875
2023-03-16,160.9517822265625
2023-03-17,159.6934051513672
2023-03-20,161.93658447265625
2023-03-21,162.31956481933594
2023-03-22,160.9517822265625
2023-03-23,160.1675567626953
2023-03-24,163.30438232421875
2023-03-27,163.6691131591797
2023-03-28,163.61441040039062
2023-03-29,164.74508666992188
2023-03-30,164.89097595214844
2023-03-31,166.23143005371094
2023-04-03,166.413818359375
2023-04-04,165.8210906982422
2023-04-05,167.4533233642578
2023-04-06,168.10984802246094
2023-04-10,167.05210876464844
2023-04-11,166.79676818847656
2023-04-12,166.46849060058594
2023-04-13,168.1280975341797
2023-04-14,167.3347625732422
2023-04-17,168.19190979003906
2023-04-18,168.5384063720703
2023-04-19,168.43812561035156
2023-04-20,168.99435424804688
2023-04-21,169.06732177734375
2023-04-24,169.1493682861328
2023-04-25,172.98829650878906
2023-04-26,171.92140197753906
2023-04-27,172.97003173828125
2023-04-28,174.0642852783203
