Date,CAT
2023-01-03,226.43540954589844
2023-01-04,228.7862091064453
2023-01-05,227.762451171875
2023-01-06,235.8954620361328
2023-01-09,233.7721710205078
2023-01-10,237.45948791503906
2023-01-11,237.6680450439453
2023-01-12,241.78196716308594
2023-01-13,244.995361328125
2023-01-17,242.90997314453125
2023-01-18,239.64918518066406
2023-01-19,234.05841064453125
2023-01-20,237.8300323486328
2023-01-23,240.6777801513672
2023-01-24,245.3541717529297
2023-01-25,246.14474487304688
2023-01-26,249.64959716796875
2023-01-27,251.9545135498047
2023-01-30,249.05911254882812
2023-01-31,240.2872772216797
2023-02-01,237.66810607910156
2023-02-02,233.2488555908203
2023-02-03,235.97280883789062
2023-02-06,239.45870971679688
2023-02-07,237.7824249267578
2023-02-08,237.02996826171875
2023-02-09,234.56320190429688
2023-02-10,235.88706970214844
2023-02-13,236.34422302246094
2023-02-14,232.73452758789062
2023-02-15,236.8680877685547
2023-02-16,234.79180908203125
2023-02-17,236.00137329101562
2023-02-21,229.25820922851562
2023-02-22,226.57237243652344
2023-02-23,226.6295166015625
2023-02-24,224.9342041015625
2023-02-27,228.56289672851562
2023-02-28,228.1533966064453
2023-03-01,236.83950805664062
2023-03-02,240.18251037597656
2023-03-03,243.16363525390625
2023-03-06,241.8968963623047
2023-03-07,234.4298858642578
2023-03-08,236.88711547851562
2023-03-09,229.496337890625
2023-03-10,216.20997619628906
2023-03-13,214.00987243652344
2023-03-14,214.93373107910156
2023-03-15,206.92381286621094
2023-03-16,208.30490112304688
2023-03-17,204.7808837890625
2023-03-20,209.82872009277344
2023-03-21,214.2194366455078
2023-03-22,209.4858856201172
2023-03-23,209.00013732910156
2023-03-24,206.6857452392578
2023-03-27,207.62864685058594
2023-03-28,209.68588256835938
2023-03-29,212.39076232910156
2023-03-30,213.8574676513672
2023-03-31,217.9529266357422
2023-04-03,218.9339141845703
2023-04-04,207.1047821044922
2023-04-05,203.37130737304688
2023-04-06,199.21871948242188
2023-04-10,205.27610778808594
2023-04-11,210.10496520996094
2023-04-12,210.00970458984375
2023-04-13,211.12405395507812
2023-04-14,213.03839111328125
2023-04-17,214.52418518066406
2023-04-18,214.486083984375
2023-04-19,213.9622344970703
2023-04-20,211.69549560546875
2023-04-21,210.92941284179688
2023-04-24,213.9553985595703
2023-04-25,209.35897827148438
2023-04-26,207.02244567871094
2023-04-27,205.2412872314453
2023-04-28,209.52175903320312
2023-05-01,208.056640625
2023-05-02,206.02650451660156
2023-05-03,206.49574279785156
2023-05-04,201.45880126953125
2023-05-05,205.96905517578125
2023-05-08,205.68177795410156
2023-05-09,204.43690490722656
2023-05-10,204.13047790527344
2023-05-11,201.12364196777344
2023-05-12,200.65438842773438
2023-05-15,202.33021545410156
2023-05-16,198.4136505126953
2023-05-17,203.10585021972656
2023-05-18,205.61476135253906
2023-05-19,205.6721954345703
2023-05-22,205.1742401123047
2023-05-23,203.6900177001953
2023-05-24,200.80760192871094
2023-05-25,201.07574462890625
2023-05-26,202.818603515625
2023-05-30,200.99913024902344
2023-05-31,197.02513122558594
2023-06-01,200.20436096191406
2023-06-02,217.01971435546875
2023-06-05,213.0361328125
2023-06-06,217.0675811767578
2023-06-07,225.5614471435547
2023-06-08,224.50811767578125
2023-06-09,225.06350708007812
2023-06-12,227.81182861328125
2023-06-13,235.0320587158203
2023-06-14,233.00201416015625
2023-06-15,237.1675262451172
2023-06-16,234.86929321289062
2023-06-20,230.92396545410156
2023-06-21,231.239990234375
2023-06-22,227.27552795410156
2023-06-23,224.49850463867188
2023-06-26,226.90211486816406
2023-06-27,230.48348999023438
2023-06-28,231.61346435546875
2023-06-29,233.88299560546875
2023-06-30,235.6162109375
2023-07-03,236.8419189453125
2023-07-05,234.44793701171875
2023-07-06,230.37815856933594
2023-07-07,234.7830810546875
2023-07-10,238.25918579101562
2023-07-11,242.1278533935547
2023-07-12,242.8460235595703
2023-07-13,245.01019287109375
2023-07-14,244.7803955078125
2023-07-17,246.54237365722656
2023-07-18,252.6230926513672
2023-07-19,252.85403442382812
