Date,ACN
2023-01-03,258.1388854980469
2023-01-04,257.26019287109375
2023-01-05,251.18540954589844
2023-01-06,257.1359558105469
2023-01-09,261.4723205566406
2023-01-10,262.59942626953125
2023-01-11,269.57177734375
2023-01-12,272.2187805175781
2023-01-13,270.58837890625
2023-01-17,273.2162170410156
2023-01-18,266.52197265625
2023-01-19,261.7171325683594
2023-01-20,268.9867248535156
2023-01-23,267.9030456542969
2023-01-24,263.6160583496094
2023-01-25,261.9760437011719
2023-01-26,263.031005859375
2023-01-27,265.9178161621094
2023-01-30,263.08856201171875
2023-01-31,267.6248779296875
2023-02-01,271.98858642578125
2023-02-02,282.0586853027344
2023-02-03,277.3785400390625
2023-02-06,272.83258056640625
2023-02-07,276.03582763671875
2023-02-08,273.0531921386719
2023-02-09,273.4847412109375
2023-02-10,272.3338623046875
2023-02-13,276.54412841796875
2023-02-14,273.1106872558594
2023-02-15,275.8727722167969
2023-02-16,269.7060546875
2023-02-17,265.70672607421875
2023-02-21,258.1302185058594
2023-02-22,258.590576171875
2023-02-23,260.12506103515625
2023-02-24,255.6174774169922
2023-02-27,255.34896850585938
2023-02-28,254.6775665283203
2023-03-01,252.79788208007812
2023-03-02,254.3995361328125
2023-03-03,258.1781921386719
2023-03-06,258.590576171875
2023-03-07,253.3828887939453
2023-03-08,252.86500549316406
2023-03-09,249.1247100830078
2023-03-10,242.593505859375
2023-03-13,241.02064514160156
2023-03-14,242.1427459716797
2023-03-15,236.0911102294922
2023-03-16,242.56472778320312
2023-03-17,239.7642822265625
2023-03-20,242.20985412597656
2023-03-21,247.0723114013672
2023-03-22,242.90040588378906
2023-03-23,260.5374450683594
2023-03-24,260.8635559082031
2023-03-27,262.7432861328125
2023-03-28,263.74072265625
2023-03-29,268.4784240722656
2023-03-30,271.0871276855469
2023-03-31,274.1081237792969
2023-04-03,274.1369323730469
2023-04-04,274.1369323730469
2023-04-05,269.8115539550781
2023-04-06,270.1663818359375
2023-04-10,270.147216796875
2023-04-11,274.6068115234375
2023-04-12,273.21075439453125
2023-04-13,274.66455078125
2023-04-14,268.868408203125
2023-04-17,269.5712585449219
2023-04-18,269.552001953125
2023-04-19,269.4941711425781
2023-04-20,265.30596923828125
2023-04-21,266.05694580078125
2023-04-24,266.9427185058594
2023-04-25,260.63623046875
2023-04-26,261.1272888183594
2023-04-27,265.209716796875
2023-04-28,269.8697204589844
2023-05-01,269.0321350097656
2023-05-02,266.45166015625
2023-05-03,264.9497375488281
2023-05-04,256.5924072265625
2023-05-05,255.77398681640625
2023-05-08,254.97486877441406
2023-05-09,253.6846923828125
2023-05-10,258.89361572265625
2023-05-11,262.14788818359375
2023-05-12,266.8849792480469
2023-05-15,267.1930847167969
2023-05-16,268.8106384277344
2023-05-17,274.04840087890625
2023-05-18,276.79241943359375
2023-05-19,279.1321105957031
2023-05-22,280.1334228515625
2023-05-23,277.3893737792969
2023-05-24,276.156982421875
2023-05-25,280.913330078125
2023-05-26,292.3131408691406
2023-05-30,296.9635925292969
2023-05-31,294.5469055175781
2023-06-01,293.85369873046875
2023-06-02,299.8135681152344
2023-06-05,293.13153076171875
2023-06-06,296.58807373046875
2023-06-07,299.4669494628906
2023-06-08,295.9044494628906
2023-06-09,297.2427978515625
2023-06-12,299.90020751953125
2023-06-13,303.4433898925781
2023-06-14,303.3374938964844
2023-06-15,311.7332458496094
2023-06-16,307.6605529785156
2023-06-20,305.6000671386719
2023-06-21,301.5562744140625
2023-06-22,295.827392578125
2023-06-23,287.3353271484375
2023-06-26,286.3532409667969
2023-06-27,289.6268615722656
2023-06-28,290.5030212402344
2023-06-29,296.8673095703125
2023-06-30,297.10797119140625
2023-07-03,299.4091491699219
2023-07-05,298.3789367675781
2023-07-06,296.5207214355469
2023-07-07,294.3928527832031
2023-07-10,296.9828186035156
2023-07-11,298.2056579589844
2023-07-12,303.3077697753906
2023-07-13,304.5929260253906
2023-07-14,305.1341552734375
2023-07-17,309.0091247558594
2023-07-18,311.56982421875
