Date,PG
2023-01-03,139.52383422851562
2023-01-04,140.13137817382812
2023-01-05,138.39157104492188
2023-01-06,141.6870574951172
2023-01-09,139.9564666748047
2023-01-10,139.81842041015625
2023-01-11,138.6861572265625
2023-01-12,137.9036865234375
2023-01-13,138.88865661621094
2023-01-17,138.48365783691406
2023-01-18,134.77391052246094
2023-01-19,131.92367553710938
2023-01-20,132.43319702148438
2023-01-23,130.6546630859375
2023-01-24,131.36793518066406
2023-01-25,131.2753143310547
2023-01-26,130.747314453125
2023-01-27,130.21005249023438
2023-01-30,130.61761474609375
2023-01-31,131.88665771484375
2023-02-01,132.6369171142578
2023-02-02,131.69212341308594
2023-02-03,132.0996856689453
2023-02-06,130.9788818359375
2023-02-07,129.70059204101562
2023-02-08,128.3574676513672
2023-02-09,126.94950103759766
2023-02-10,128.0702667236328
2023-02-13,129.7469024658203
2023-02-14,129.01512145996094
2023-02-15,128.7187042236328
2023-02-16,127.03282165527344
2023-02-17,129.69129943847656
2023-02-21,129.59869384765625
2023-02-22,130.14520263671875
2023-02-23,129.7283477783203
2023-02-24,128.99659729003906
2023-02-27,128.8854522705078
2023-02-28,127.421875
2023-03-01,127.51451110839844
2023-03-02,129.6171875
2023-03-03,130.56201171875
2023-03-06,130.00624084472656
2023-03-07,127.421875
2023-03-08,127.44039154052734
2023-03-09,126.5048599243164
2023-03-10,127.07915496826172
2023-03-13,127.9591064453125
2023-03-14,129.54310607910156
2023-03-15,131.37718200683594
2023-03-16,132.3590545654297
2023-03-17,132.39610290527344
2023-03-20,134.43399047851562
2023-03-21,133.4613494873047
2023-03-22,133.3780059814453
2023-03-23,133.19271850585938
2023-03-24,135.90679931640625
2023-03-27,135.19351196289062
2023-03-28,135.57333374023438
2023-03-29,135.9901580810547
2023-03-30,136.58297729492188
2023-03-31,137.73158264160156
2023-04-03,138.49114990234375
2023-04-04,139.1581268310547
2023-04-05,140.11221313476562
2023-04-06,141.00143432617188
2023-04-10,139.8343048095703
2023-04-11,139.55642700195312
2023-04-12,139.93621826171875
2023-04-13,140.58462524414062
2023-04-14,139.87135314941406
2023-04-17,139.9176788330078
2023-04-18,140.06588745117188
2023-04-19,140.09368896484375
2023-04-20,140.60726928710938
2023-04-21,145.4728240966797
2023-04-24,145.7338104248047
2023-04-25,145.7710723876953
2023-04-26,144.08401489257812
2023-04-27,145.84567260742188
2023-04-28,145.7617645263672
2023-05-01,145.93887329101562
2023-05-02,145.80838012695312
2023-05-03,145.6219482421875
2023-05-04,144.9508514404297
2023-05-05,145.43553161621094
2023-05-08,144.7550811767578
2023-05-09,143.2730712890625
2023-05-10,143.57130432128906
2023-05-11,143.90687561035156
2023-05-12,145.37026977539062
2023-05-15,145.41690063476562
2023-05-16,145.1652374267578
2023-05-17,144.55003356933594
2023-05-18,142.1731719970703
2023-05-19,142.7697296142578
2023-05-22,139.03201293945312
2023-05-23,137.53131103515625
2023-05-24,136.39418029785156
2023-05-25,135.5179901123047
2023-05-26,135.5272979736328
2023-05-30,133.4580535888672
2023-05-31,132.82421875
2023-06-01,134.1851043701172
2023-06-02,136.57125854492188
2023-06-05,136.03067016601562
2023-06-06,134.6791229248047
2023-06-07,134.96803283691406
2023-06-08,136.4967041015625
2023-06-09,136.60853576660156
2023-06-12,135.53663635253906
2023-06-13,135.21038818359375
2023-06-14,136.47804260253906
2023-06-15,138.37017822265625
2023-06-16,139.38619995117188
2023-06-20,138.09991455078125
2023-06-21,139.2930145263672
2023-06-22,139.76834106445312
2023-06-23,138.37953186035156
2023-06-26,138.51934814453125
2023-06-27,139.83360290527344
2023-06-28,139.8056640625
2023-06-29,139.237060546875
2023-06-30,141.43682861328125
2023-07-03,142.14520263671875
2023-07-05,141.9028778076172
2023-07-06,141.6698760986328
2023-07-07,138.6964569091797
2023-07-10,138.7523956298828
2023-07-11,138.02532958984375
2023-07-12,138.7430419921875
2023-07-13,138.83627319335938
2023-07-14,139.861572265625
2023-07-17,138.87355041503906
2023-07-18,139.13453674316406
2023-07-19,140.0852813720703
2023-07-20,141.22116088867188
2023-07-21,143.4441375732422
2023-07-24,143.90377807617188
2023-07-25,144.24142456054688
2023-07-26,144.39151000976562
2023-07-27,142.67503356933594
2023-07-28,146.70831298828125
2023-07-31,146.6051483154297
2023-08-01,146.5582275390625
2023-08-02,146.87713623046875
2023-08-03,147.26171875
2023-08-04,145.64840698242188
2023-08-07,147.18666076660156
2023-08-08,147.3461456298828
2023-08-09,147.15853881835938
2023-08-10,146.42691040039062
2023-08-11,147.2804412841797
2023-08-14,146.12673950195312
2023-08-15,145.18878173828125
2023-08-16,143.70680236816406
2023-08-17,142.67503356933594
2023-08-18,143.07835388183594
2023-08-21,142.35610961914062
2023-08-22,142.41241455078125
2023-08-23,143.74432373046875
2023-08-24,143.07835388183594
2023-08-25,144.0163116455078
2023-08-28,144.24142456054688
2023-08-29,144.3258514404297
2023-08-30,144.4853057861328
2023-08-31,144.76670837402344
2023-09-01,144.92613220214844
2023-09-05,142.98455810546875
2023-09-06,142.70315551757812
2023-09-07,144.06320190429688
2023-09-08,143.4441375732422
2023-09-11,145.15127563476562
2023-09-12,142.59999084472656
2023-09-13,143.59420776367188
2023-09-14,145.1700439453125
2023-09-15,143.95068359375
2023-09-18,144.49465942382812
2023-09-19,144.07260131835938
2023-09-20,143.95068359375
2023-09-21,142.70315551757812
2023-09-22,142.1779022216797
2023-09-25,141.31497192382812
2023-09-26,140.05807495117188
2023-09-27,138.20089721679688
2023-09-28,137.26292419433594
2023-09-29,136.8126983642578
2023-10-02,136.1842498779297
2023-10-03,136.4656524658203
