Date,MA
2023-01-03,340.2454528808594
2023-01-04,348.43768310546875
2023-01-05,345.1216125488281
2023-01-06,361.3065490722656
2023-01-09,364.5494079589844
2023-01-10,364.5887145996094
2023-01-11,371.3201904296875
2023-01-12,373.2364196777344
2023-01-13,369.02056884765625
2023-01-17,368.5096130371094
2023-01-18,362.53485107421875
2023-01-19,361.5718688964844
2023-01-20,369.7674560546875
2023-01-23,372.0178527832031
2023-01-24,373.4329528808594
2023-01-25,375.77178955078125
2023-01-26,370.7108459472656
2023-01-27,367.55645751953125
2023-01-30,364.6968078613281
2023-01-31,364.1858215332031
2023-02-01,367.6054992675781
2023-02-02,368.45068359375
2023-02-03,367.4385070800781
2023-02-06,366.5147705078125
2023-02-07,368.5686950683594
2023-02-08,363.9401550292969
2023-02-09,364.00897216796875
2023-02-10,360.4810485839844
2023-02-13,364.41180419921875
2023-02-14,363.5568542480469
2023-02-15,363.2424621582031
2023-02-16,361.1885681152344
2023-02-17,354.8796691894531
2023-02-21,349.7991638183594
2023-02-22,348.8263244628906
2023-02-23,349.3766174316406
2023-02-24,347.00830078125
2023-02-27,349.3275146484375
2023-02-28,349.1407775878906
2023-03-01,347.38177490234375
2023-03-02,349.4159240722656
2023-03-03,355.2432861328125
2023-03-06,360.5793151855469
2023-03-07,353.7102966308594
2023-03-08,352.8160400390625
2023-03-09,348.3054504394531
2023-03-10,341.1023254394531
2023-03-13,338.7438659667969
2023-03-14,346.713623046875
2023-03-15,342.0555725097656
2023-03-16,341.9770202636719
2023-03-17,343.6082458496094
2023-03-20,343.2741394042969
2023-03-21,348.4332580566406
2023-03-22,344.95452880859375
2023-03-23,348.2367248535156
2023-03-24,345.5441589355469
2023-03-27,348.4823303222656
2023-03-28,348.1973876953125
2023-03-29,353.3073425292969
2023-03-30,353.04205322265625
2023-03-31,357.1202087402344
2023-04-03,360.1272888183594
2023-04-04,357.601806640625
2023-04-05,358.0544738769531
2023-04-06,355.7710876464844
2023-04-10,354.4620666503906
2023-04-11,358.3891906738281
2023-04-12,356.0762023925781
2023-04-13,363.82208251953125
2023-04-14,366.5582580566406
2023-04-17,366.883056640625
2023-04-18,366.4500427246094
2023-04-19,366.92242431640625
2023-04-20,369.0877685546875
2023-04-21,369.3239440917969
2023-04-24,368.8220520019531
2023-04-25,362.7197265625
2023-04-26,360.9776916503906
2023-04-27,367.7787780761719
2023-04-28,374.03851318359375
2023-05-01,373.87115478515625
2023-05-02,370.10150146484375
2023-05-03,368.9893798828125
2023-05-04,370.1900939941406
2023-05-05,378.595458984375
2023-05-08,379.43206787109375
2023-05-09,376.902587890625
2023-05-10,376.5089111328125
2023-05-11,377.345458984375
2023-05-12,375.89862060546875
2023-05-15,377.36517333984375
2023-05-16,374.2451477050781
2023-05-17,380.8985900878906
2023-05-18,385.83941650390625
2023-05-19,379.4910888671875
2023-05-22,378.4674987792969
2023-05-23,367.85748291015625
2023-05-24,362.69024658203125
2023-05-25,364.20599365234375
2023-05-26,368.4676513671875
2023-05-30,361.70599365234375
2023-05-31,359.2650451660156
2023-06-01,365.0326843261719
2023-06-02,367.83782958984375
2023-06-05,364.6783752441406
2023-06-06,373.9695739746094
2023-06-07,365.53466796875
2023-06-08,361.7945861816406
2023-06-09,363.39886474609375
2023-06-12,369.39288330078125
2023-06-13,365.5248107910156
2023-06-14,368.8515319824219
2023-06-15,373.06402587890625
2023-06-16,370.5936584472656
2023-06-20,368.7137451171875
2023-06-21,370.2098083496094
2023-06-22,371.8436279296875
2023-06-23,373.8218994140625
2023-06-26,371.4695739746094
2023-06-27,375.770751953125
2023-06-28,374.2353210449219
2023-06-29,381.5580139160156
2023-06-30,387.0992431640625
2023-07-03,387.74884033203125
2023-07-05,388.5067138671875
2023-07-06,387.5013427734375
2023-07-07,383.10528564453125
2023-07-10,386.535400390625
2023-07-11,392.094482421875
2023-07-12,394.9430847167969
2023-07-13,394.81488037109375
2023-07-14,396.7369384765625
2023-07-17,396.431396484375
2023-07-18,392.4493408203125
2023-07-19,392.5577392578125
2023-07-20,392.3507385253906
2023-07-21,391.7889404296875
2023-07-24,398.9842224121094
2023-07-25,395.52459716796875
2023-07-26,396.63836669921875
2023-07-27,388.84185791015625
2023-07-28,387.32391357421875
2023-07-31,388.625
2023-08-01,391.3749694824219
2023-08-02,384.42608642578125
2023-08-03,387.37322998046875
2023-08-04,385.737060546875
2023-08-07,391.1778564453125
2023-08-08,387.5506286621094
2023-08-09,388.0237121582031
2023-08-10,391.4440002441406
2023-08-11,389.3149719238281
2023-08-14,392.8633117675781
2023-08-15,388.7926025390625
2023-08-16,388.7136535644531
2023-08-17,386.9888000488281
2023-08-18,386.5452880859375
2023-08-21,387.560546875
2023-08-22,392.1339111328125
2023-08-23,395.3078308105469
2023-08-24,391.96636962890625
2023-08-25,397.11151123046875
2023-08-28,401.5962219238281
2023-08-29,405.7458190917969
2023-08-30,407.97344970703125
2023-08-31,406.7216796875
2023-09-01,409.60968017578125
2023-09-05,405.5980529785156
2023-09-06,407.25384521484375
2023-09-07,408.6732482910156
2023-09-08,408.8901062011719
2023-09-11,410.713623046875
2023-09-12,410.2995910644531
2023-09-13,410.32916259765625
2023-09-14,407.41162109375
2023-09-15,408.36767578125
2023-09-18,411.147216796875
2023-09-19,407.5988464355469
2023-09-20,404.6320495605469
2023-09-21,397.5747375488281
2023-09-22,396.4510803222656
2023-09-25,396.7171630859375
2023-09-26,389.7091979980469
2023-09-27,389.8077697753906
2023-09-28,393.71099853515625
2023-09-29,390.23162841796875
2023-10-02,390.1724548339844
2023-10-03,385.45123291015625
2023-10-04,388.1123962402344
2023-10-05,389.109375
2023-10-06,392.83074951171875
2023-10-09,389.64239501953125
2023-10-10,395.1996765136719
2023-10-11,394.6469421386719
2023-10-12,394.7357482910156
2023-10-13,392.88995361328125
2023-10-16,395.97955322265625
2023-10-17,396.5816345214844
2023-10-18,388.1322021484375
2023-10-19,382.86114501953125
2023-10-20,379.4458312988281
2023-10-23,378.71533203125
2023-10-24,381.91351318359375
2023-10-25,381.3212890625
2023-10-26,359.8817138671875
2023-10-27,359.3783874511719
2023-10-30,367.6106872558594
2023-10-31,371.48992919921875
2023-11-01,372.94091796875
2023-11-02,377.7480163574219
2023-11-03,381.0646057128906
2023-11-06,381.17327880859375
2023-11-07,383.8481750488281
2023-11-08,384.6675109863281
2023-11-09,382.9499816894531
2023-11-10,389.28704833984375
2023-11-13,389.2574768066406
2023-11-14,392.51483154296875
2023-11-15,391.7054748535156
2023-11-16,391.97198486328125
2023-11-17,395.130615234375
2023-11-20,399.17767333984375
2023-11-21,403.6689147949219
2023-11-22,405.03106689453125
2023-11-24,407.1730651855469
2023-11-27,403.6886291503906
2023-11-28,403.7281494140625
2023-11-29,404.5277099609375
2023-11-30,408.4859313964844
2023-12-01,409.0090026855469
2023-12-04,402.9582214355469
2023-12-05,403.4122619628906
2023-12-06,405.0804748535156
2023-12-07,407.8146667480469
2023-12-08,406.83746337890625
2023-12-11,410.3416442871094
2023-12-12,415.3165283203125
2023-12-13,419.19580078125
2023-12-14,413.1548156738281
2023-12-15,413.1647033691406
2023-12-18,418.948974609375
2023-12-19,419.9756164550781
2023-12-20,414.0333557128906
2023-12-21,417.9718322753906
2023-12-22,418.623291015625
2023-12-26,418.1988525390625
2023-12-27,418.8798828125
2023-12-28,420.81463623046875
2023-12-29,421.0021667480469
2024-01-02,416.4418029785156
2024-01-03,413.3620910644531
2024-01-04,414.34918212890625
2024-01-05,414.00372314453125
2024-01-08,417.18719482421875
2024-01-09,417.80010986328125
2024-01-10,423.40570068359375
2024-01-11,421.873291015625
2024-01-12,424.2262878417969
2024-01-16,423.48480224609375
2024-01-17,422.5653991699219
2024-01-18,425.827880859375
2024-01-19,431.8190612792969
2024-01-22,434.75537109375
2024-01-23,433.77655029296875
2024-01-24,433.7172546386719
2024-01-25,431.8388366699219
2024-01-26,433.5491638183594
2024-01-29,435.5758972167969
2024-01-30,440.133544921875
2024-01-31,444.1276550292969
2024-02-01,455.68487548828125
2024-02-02,455.34869384765625
2024-02-05,451.57208251953125
2024-02-06,455.2696838378906
2024-02-07,456.66363525390625
2024-02-08,453.0550842285156
2024-02-09,452.67938232421875
2024-02-12,453.4999694824219
2024-02-13,455.2301025390625
2024-02-14,459.9064025878906
2024-02-15,465.9272155761719
2024-02-16,462.81292724609375
2024-02-20,446.6189880371094
2024-02-21,453.8360595703125
2024-02-22,466.2040100097656
2024-02-23,468.0428771972656
2024-02-26,469.1205139160156
2024-02-27,469.3577575683594
2024-02-28,473.41119384765625
2024-02-29,469.36767578125
2024-03-01,471.2164611816406
2024-03-04,463.1689147949219
2024-03-05,462.20989990234375
2024-03-06,466.2436218261719
2024-03-07,462.2297058105469
2024-03-08,463.93017578125
2024-03-11,463.8312683105469
2024-03-12,467.4991455078125
2024-03-13,470.2080383300781
2024-03-14,474.0340576171875
2024-03-15,470.4255065917969
2024-03-18,473.45074462890625
2024-03-19,478.5027160644531
2024-03-20,482.4968566894531
2024-03-21,483.0900573730469
2024-03-22,476.1991882324219
2024-03-25,470.6331787109375
2024-03-26,471.3844299316406
2024-03-27,472.5214538574219
2024-03-28,476.100341796875
2024-04-01,472.9662780761719
2024-04-02,473.9846496582031
2024-04-03,471.9974670410156
2024-04-04,464.434326171875
2024-04-05,471.73052978515625
2024-04-08,474.0669250488281
2024-04-09,467.4438171386719
2024-04-10,464.483642578125
2024-04-11,463.6321716308594
2024-04-12,460.7314758300781
2024-04-15,455.1972961425781
2024-04-16,455.2270202636719
2024-04-17,455.5635986328125
2024-04-18,450.158203125
2024-04-19,450.8412780761719
2024-04-22,452.1877136230469
2024-04-23,458.1971130371094
2024-04-24,457.8802490234375
2024-04-25,457.494140625
2024-04-26,457.8010559082031
2024-04-29,452.5341796875
2024-04-30,446.69317626953125
2024-05-01,437.6543273925781
2024-05-02,436.6939697265625
2024-05-03,439.1492004394531
2024-05-06,444.8813781738281
2024-05-07,448.5345458984375
2024-05-08,450.2275085449219
2024-05-09,450.9402770996094
2024-05-10,452.4153747558594
2024-05-13,453.1876220703125
2024-05-14,449.66314697265625
2024-05-15,453.4252014160156
2024-05-16,454.2864990234375
2024-05-17,455.6725158691406
2024-05-20,455.0686340332031
2024-05-21,454.51422119140625
2024-05-22,451.9599914550781
2024-05-23,446.7030029296875
2024-05-24,446.67333984375
2024-05-28,440.63427734375
2024-05-29,438.05029296875
2024-05-30,437.6839904785156
2024-05-31,442.6044006347656
2024-06-03,438.7631530761719
2024-06-04,440.32733154296875
2024-06-05,442.1984558105469
2024-06-06,444.1982727050781
2024-06-07,445.29718017578125
2024-06-10,444.7626037597656
2024-06-11,444.5546569824219
2024-06-12,438.57501220703125
2024-06-13,440.5550231933594
2024-06-14,440.1887512207031
2024-06-17,443.6339416503906
2024-06-18,445.61395263671875
2024-06-20,447.99005126953125
2024-06-21,450.3066711425781
2024-06-24,452.39556884765625
2024-06-25,451.0986633300781
2024-06-26,447.861328125
2024-06-27,438.3275146484375
2024-06-28,436.75341796875
2024-07-01,433.2388610839844
2024-07-02,440.20855712890625
2024-07-03,443.7032775878906
2024-07-05,445.0002136230469
2024-07-08,441.78271484375
2024-07-09,440.9101867675781
2024-07-10,429.9444274902344
2024-07-11,432.70074462890625
2024-07-12,436.3592529296875
2024-07-15,440.21612548828125
2024-07-16,439.7501220703125
2024-07-17,447.31512451171875
2024-07-18,444.89593505859375
2024-07-19,439.9087829589844
2024-07-22,444.12255859375
2024-07-23,437.95556640625
2024-07-24,428.7645568847656
2024-07-25,425.9388732910156
2024-07-26,434.4457092285156
2024-07-29,437.5391540527344
2024-07-30,443.6367492675781
2024-07-31,459.75811767578125
2024-08-01,458.46923828125
2024-08-02,458.08251953125
2024-08-05,438.2331237792969
2024-08-06,444.4794921875
2024-08-07,446.0063781738281
2024-08-08,451.69744873046875
2024-08-09,452.8872375488281
2024-08-12,451.8065185546875
2024-08-13,455.44525146484375
2024-08-14,456.2384338378906
2024-08-15,464.7154846191406
2024-08-16,464.8841247558594
2024-08-19,463.00030517578125
2024-08-20,465.1220397949219
2024-08-21,464.0115966796875
2024-08-22,464.8246765136719
2024-08-23,462.46490478515625
2024-08-26,464.6461181640625
2024-08-27,470.9419860839844
2024-08-28,467.7792053222656
2024-08-29,476.7025146484375
2024-08-30,479.2208251953125
2024-09-03,478.01123046875
2024-09-04,479.0225830078125
2024-09-05,473.29180908203125
2024-09-06,472.0623779296875
2024-09-09,482.93896484375
2024-09-10,483.8609313964844
