Date,GE
2023-01-03,52.14157485961914
2023-01-04,55.176448822021484
2023-01-05,56.033172607421875
2023-01-06,56.544063568115234
2023-01-09,57.11784362792969
2023-01-10,59.161407470703125
2023-01-11,61.063499450683594
2023-01-12,61.983116149902344
2023-01-13,63.036338806152344
2023-01-17,63.26427459716797
2023-01-18,62.30536651611328
2023-01-19,60.411128997802734
2023-01-20,61.05564498901367
2023-01-23,62.69835662841797
2023-01-24,63.4293327331543
2023-01-25,63.50006103515625
2023-01-26,63.77516555786133
2023-01-27,65.41787719726562
2023-01-30,63.53150939941406
2023-01-31,63.25642013549805
2023-02-01,64.70262908935547
2023-02-02,65.97593688964844
2023-02-03,64.41967010498047
2023-02-06,64.72621154785156
2023-02-07,64.5375747680664
2023-02-08,64.41967010498047
2023-02-09,63.50006103515625
2023-02-10,63.89306640625
2023-02-13,64.985595703125
2023-02-14,65.66154479980469
2023-02-15,66.62828826904297
2023-02-16,66.06239318847656
2023-02-17,65.2685317993164
2023-02-21,64.65547180175781
2023-02-22,65.38642120361328
2023-02-23,65.18995666503906
2023-02-24,65.66939544677734
2023-02-27,65.8973388671875
2023-02-28,66.58114624023438
2023-03-01,66.13314056396484
2023-03-02,67.37500762939453
2023-03-03,67.89375305175781
2023-03-06,68.49165344238281
2023-03-07,67.96454620361328
2023-03-08,68.42872619628906
2023-03-09,72.03189086914062
2023-03-10,71.59131622314453
2023-03-13,69.9942855834961
2023-03-14,71.72506713867188
2023-03-15,70.61578369140625
2023-03-16,72.35444641113281
2023-03-17,71.03275299072266
2023-03-20,70.74166107177734
2023-03-21,72.51963806152344
2023-03-22,70.48204803466797
2023-03-23,72.05548095703125
2023-03-24,71.88241577148438
2023-03-27,73.40865325927734
2023-03-28,73.27490234375
2023-03-29,73.99867248535156
2023-03-30,73.99081420898438
2023-03-31,75.21023559570312
2023-04-03,76.24868774414062
2023-04-04,74.77754211425781
2023-04-05,74.14816284179688
2023-04-06,73.63678741455078
2023-04-10,74.23468780517578
2023-04-11,73.88067626953125
2023-04-12,74.03014373779297
2023-04-13,74.1875
2023-04-14,75.0843505859375
2023-04-17,76.13069152832031
2023-04-18,77.46809387207031
2023-04-19,77.90866088867188
2023-04-20,78.48297119140625
2023-04-21,78.28629302978516
2023-04-24,78.78978729248047
2023-04-25,77.44451141357422
2023-04-26,75.69013214111328
2023-04-27,77.14554595947266
2023-04-28,77.86148071289062
2023-05-01,79.60011291503906
2023-05-02,79.85972595214844
2023-05-03,80.06428527832031
2023-05-04,78.13682556152344
2023-05-05,78.86058807373047
2023-05-08,79.39556884765625
2023-05-09,79.45848846435547
2023-05-10,78.30987548828125
2023-05-11,78.28629302978516
2023-05-12,77.72771453857422
2023-05-15,80.24522399902344
2023-05-16,79.5607681274414
2023-05-17,81.40169525146484
2023-05-18,81.82652282714844
2023-05-19,82.02320098876953
2023-05-22,82.25133514404297
2023-05-23,80.00920104980469
2023-05-24,79.44278717041016
2023-05-25,79.86756896972656
2023-05-26,80.827392578125
2023-05-30,80.55989837646484
2023-05-31,79.87544250488281
2023-06-01,82.34574890136719
2023-06-02,83.23474884033203
2023-06-05,81.89732360839844
2023-06-06,82.96726989746094
2023-06-07,83.45503234863281
2023-06-08,83.44715881347656
2023-06-09,83.62810516357422
2023-06-12,83.57303619384766
2023-06-13,83.9742660522461
2023-06-14,82.36934661865234
2023-06-15,82.92792510986328
2023-06-16,83.62024688720703
2023-06-20,81.83439636230469
2023-06-21,82.64469909667969
2023-06-22,82.4637680053711
2023-06-23,81.64556884765625
2023-06-26,82.17269134521484
2023-06-27,82.54244232177734
2023-06-28,84.21814727783203
2023-06-29,84.76097106933594
2023-06-30,86.42094421386719
2023-07-03,85.18580627441406
2023-07-05,85.47688293457031
2023-07-06,84.46990203857422
2023-07-07,85.17794036865234
2023-07-10,87.02021789550781
2023-07-11,87.56346893310547
2023-07-12,87.54772186279297
2023-07-13,87.61068725585938
2023-07-14,86.82340240478516
2023-07-17,87.50047302246094
2023-07-18,87.43749237060547
2023-07-19,86.5163345336914
2023-07-20,87.5792007446289
2023-07-21,86.8627700805664
2023-07-24,86.79977416992188
2023-07-25,92.24002838134766
2023-07-26,90.31900787353516
2023-07-27,90.87010955810547
2023-07-28,90.05919647216797
2023-07-31,89.94109344482422
2023-08-01,89.13805389404297
2023-08-02,88.15392303466797
2023-08-03,88.46098327636719
2023-08-04,89.0120849609375
2023-08-07,90.3268814086914
2023-08-08,89.39786529541016
2023-08-09,88.31138610839844
2023-08-10,89.41361236572266
2023-08-11,90.22454071044922
2023-08-14,90.97247314453125
2023-08-15,89.63404846191406
2023-08-16,89.41361236572266
2023-08-17,87.3587646484375
