Date,COP
2023-01-03,101.79280090332031
2023-01-04,101.99076843261719
2023-01-05,105.07730102539062
2023-01-06,106.39112091064453
2023-01-09,105.60822296142578
2023-01-10,106.2561264038086
2023-01-11,106.40009307861328
2023-01-12,108.12784576416016
2023-01-13,109.30668640136719
2023-01-17,108.19984436035156
2023-01-18,106.67906188964844
2023-01-19,107.65992736816406
2023-01-20,109.60362243652344
2023-01-23,108.1008529663086
2023-01-24,106.91303253173828
2023-01-25,108.31683349609375
2023-01-26,112.16824340820312
2023-01-27,111.23238372802734
2023-01-30,108.46077728271484
2023-01-31,109.66663360595703
2023-02-01,105.9141845703125
2023-02-02,100.15503692626953
2023-02-03,97.28447723388672
2023-02-06,96.72654724121094
2023-02-07,100.80294036865234
2023-02-08,99.69611358642578
2023-02-09,98.9222412109375
2023-02-10,103.53852081298828
2023-02-13,101.51384735107422
2023-02-14,102.63467407226562
2023-02-15,100.91731262207031
2023-02-16,97.94357299804688
2023-02-17,94.11115264892578
2023-02-21,95.18675994873047
2023-02-22,94.07499694824219
2023-02-23,95.29521179199219
2023-02-24,95.13253784179688
2023-02-27,95.68388366699219
2023-02-28,93.41515350341797
2023-03-01,96.03639221191406
2023-03-02,97.91645050048828
2023-03-03,98.1966552734375
2023-03-06,99.02821350097656
2023-03-07,97.30183410644531
2023-03-08,96.92220306396484
2023-03-09,95.63870239257812
2023-03-10,94.20154571533203
2023-03-13,91.00182342529297
2023-03-14,91.61647033691406
2023-03-15,86.08477020263672
2023-03-16,87.13325500488281
2023-03-17,85.31649017333984
2023-03-20,86.91632843017578
2023-03-21,90.12506866455078
2023-03-22,88.91387176513672
2023-03-23,87.15132904052734
2023-03-24,86.25650787353516
2023-03-27,88.10945129394531
2023-03-28,89.06437683105469
2023-03-29,90.71961975097656
2023-03-30,90.26488494873047
2023-03-31,90.2284927368164
2023-04-03,98.6047134399414
2023-04-04,96.67664337158203
2023-04-05,97.99536895751953
2023-04-06,96.6402816772461
2023-04-10,96.35833740234375
2023-04-11,97.08592224121094
2023-04-12,97.79529571533203
2023-04-13,99.1686019897461
2023-04-14,98.67748260498047
2023-04-17,96.04912567138672
2023-04-18,95.4488525390625
2023-04-19,95.73080444335938
2023-04-20,94.38478088378906
2023-04-21,93.00241088867188
