Date,AMGN
2023-01-03,236.09393310546875
2023-01-04,238.56629943847656
2023-01-05,240.79502868652344
2023-01-06,248.32049560546875
2023-01-09,243.73666381835938
2023-01-10,247.12937927246094
2023-01-11,246.254150390625
2023-01-12,244.45849609375
2023-01-13,245.18943786621094
2023-01-17,243.10498046875
2023-01-18,238.56629943847656
2023-01-19,236.43678283691406
2023-01-20,237.5286407470703
2023-01-23,235.48033142089844
2023-01-24,234.33438110351562
2023-01-25,231.48306274414062
2023-01-26,229.98516845703125
2023-01-27,228.87533569335938
2023-01-30,227.01651000976562
2023-01-31,227.74737548828125
2023-02-01,222.34249877929688
2023-02-02,222.45074462890625
2023-02-03,221.2235870361328
2023-02-06,220.0325164794922
2023-02-07,220.1678466796875
2023-02-08,216.739013671875
2023-02-09,216.5585479736328
2023-02-10,218.81436157226562
2023-02-13,219.86106872558594
2023-02-14,219.4058837890625
2023-02-15,218.53204345703125
2023-02-16,213.2068634033203
2023-02-17,218.95077514648438
2023-02-21,216.86622619628906
2023-02-22,214.9728546142578
2023-02-23,216.30186462402344
2023-02-24,212.6971435546875
2023-02-27,213.41622924804688
2023-02-28,210.87655639648438
2023-03-01,215.0001220703125
2023-03-02,213.6802215576172
2023-03-03,213.7439422607422
2023-03-06,214.0170440673828
2023-03-07,208.20030212402344
2023-03-08,207.9363250732422
2023-03-09,205.5331573486328
2023-03-10,207.4265899658203
2023-03-13,212.2601776123047
2023-03-14,209.89344787597656
2023-03-15,213.82583618164062
2023-03-16,213.52548217773438
2023-03-17,209.17430114746094
2023-03-20,213.6620330810547
2023-03-21,212.0508270263672
2023-03-22,209.2107391357422
2023-03-23,212.1873779296875
2023-03-24,216.67507934570312
2023-03-27,215.51898193359375
2023-03-28,217.08468627929688
2023-03-29,219.4058837890625
2023-03-30,219.833740234375
2023-03-31,220.06134033203125
2023-04-03,222.50999450683594
2023-04-04,225.32275390625
2023-04-05,230.6388397216797
2023-04-06,230.5933380126953
2023-04-10,228.3904266357422
2023-04-11,228.87286376953125
2023-04-12,227.1160125732422
2023-04-13,228.8820037841797
2023-04-14,227.5711669921875
2023-04-17,225.81434631347656
2023-04-18,224.01197814941406
2023-04-19,224.12118530273438
2023-04-20,221.617919921875
2023-04-21,221.98204040527344
2023-04-24,222.5190887451172
2023-04-25,222.90139770507812
2023-04-26,217.3759765625
2023-04-27,218.77780151367188
2023-04-28,218.23165893554688
2023-05-01,217.46697998046875
2023-05-02,214.79986572265625
2023-05-03,208.7373504638672
2023-05-04,211.08590698242188
2023-05-05,215.30960083007812
2023-05-08,213.57098388671875
2023-05-09,213.39801025390625
2023-05-10,213.10675048828125
2023-05-11,211.4500274658203
2023-05-12,212.0508270263672
2023-05-15,212.5787811279297
2023-05-16,207.4356689453125
2023-05-17,206.76492309570312
2023-05-18,206.0389862060547
2023-05-19,205.29470825195312
2023-05-22,205.81845092773438
2023-05-23,206.23194885253906
2023-05-24,203.36508178710938
2023-05-25,199.81822204589844
2023-05-26,199.33120727539062
2023-05-30,200.8013916015625
2023-05-31,202.74942016601562
2023-06-01,196.88702392578125
2023-06-02,200.37875366210938
2023-06-05,203.879638671875
2023-06-06,203.273193359375
2023-06-07,203.3007354736328
2023-06-08,202.85049438476562
2023-06-09,201.0127410888672
2023-06-12,199.72634887695312
2023-06-13,203.980712890625
2023-06-14,204.24717712402344
2023-06-15,209.90744018554688
2023-06-16,211.0284881591797
2023-06-20,210.04527282714844
2023-06-21,208.6210174560547
2023-06-22,211.0284881591797
2023-06-23,208.6853485107422
2023-06-26,206.4984130859375
2023-06-27,204.55039978027344
2023-06-28,203.3558807373047
2023-06-29,203.21804809570312
2023-06-30,204.0082550048828
2023-07-03,206.75567626953125
2023-07-05,207.55514526367188
2023-07-06,204.89036560058594
2023-07-07,200.91165161132812
2023-07-10,206.4984130859375
2023-07-11,205.69900512695312
2023-07-12,207.37130737304688
2023-07-13,209.19073486328125
2023-07-14,208.9793701171875
2023-07-17,209.3561248779297
2023-07-18,213.702392578125
2023-07-19,213.22454833984375
2023-07-20,214.308837890625
2023-07-21,215.76988220214844
2023-07-24,216.32118225097656
2023-07-25,216.22010803222656
2023-07-26,216.1282501220703
2023-07-27,216.9000701904297
2023-07-28,217.19410705566406
2023-07-31,215.15420532226562
2023-08-01,213.2888946533203
2023-08-02,211.71763610839844
2023-08-03,211.9840850830078
2023-08-04,223.5435333251953
2023-08-07,232.4198455810547
2023-08-08,239.64215087890625
2023-08-09,238.2822723388672
2023-08-10,240.8000030517578
2023-08-11,241.21348571777344
2023-08-14,239.7983856201172
2023-08-15,244.4294891357422
2023-08-16,243.51979064941406
2023-08-17,244.4091033935547
2023-08-18,242.52867126464844
2023-08-21,241.49119567871094
2023-08-22,238.6381378173828
2023-08-23,238.39730834960938
2023-08-24,237.71180725097656
2023-08-25,237.489501953125
2023-08-28,237.64697265625
2023-08-29,240.5093231201172
2023-08-30,238.8789825439453
2023-08-31,237.4524383544922
2023-09-01,237.79519653320312
2023-09-05,235.2941131591797
2023-09-06,230.6625518798828
2023-09-07,235.64613342285156
2023-09-08,240.3147735595703
2023-09-11,242.43601989746094
2023-09-12,241.1299285888672
2023-09-13,238.2769012451172
2023-09-14,242.97329711914062
2023-09-15,241.50973510742188
2023-09-18,243.76068115234375
2023-09-19,244.83523559570312
2023-09-20,251.45835876464844
2023-09-21,249.55941772460938
2023-09-22,247.97544860839844
2023-09-25,247.1973114013672
2023-09-26,249.21669006347656
2023-09-27,249.1611328125
2023-09-28,250.86553955078125
2023-09-29,248.9573211669922
2023-10-02,246.6878204345703
2023-10-03,241.77838134765625
2023-10-04,245.88197326660156
2023-10-05,245.5484619140625
2023-10-06,247.7623291015625
2023-10-09,251.53248596191406
2023-10-10,251.26385498046875
2023-10-11,262.703857421875
2023-10-12,264.0378112792969
2023-10-13,263.16705322265625
2023-10-16,265.74224853515625
2023-10-17,263.4635009765625
2023-10-18,262.68536376953125
2023-10-19,259.9249572753906
2023-10-20,258.2668151855469
2023-10-23,252.9405059814453
2023-10-24,255.77503967285156
2023-10-25,252.10682678222656
2023-10-26,249.8373260498047
2023-10-27,242.29713439941406
2023-10-30,243.7977294921875
2023-10-31,236.859619140625
2023-11-01,241.62086486816406
2023-11-02,246.9471893310547
2023-11-03,249.97625732421875
2023-11-06,252.72743225097656
2023-11-07,251.13417053222656
2023-11-08,253.12579345703125
2023-11-09,244.60365295410156
2023-11-10,247.61415100097656
2023-11-13,247.03988647460938
2023-11-14,250.12449645996094
2023-11-15,252.91270446777344
2023-11-16,251.13890075683594
2023-11-17,247.76856994628906
2023-11-20,247.7312469482422
2023-11-21,245.36923217773438
2023-11-22,247.0216522216797
2023-11-24,247.8339080810547
2023-11-27,246.7229461669922
2023-11-28,247.88990783691406
2023-11-29,248.8982391357422
2023-11-30,251.7364044189453
2023-12-01,254.35975646972656
2023-12-04,254.44378662109375
2023-12-05,252.8846435546875
2023-12-06,251.46563720703125
2023-12-07,253.29547119140625
2023-12-08,251.25091552734375
2023-12-11,254.0703582763672
2023-12-12,255.79754638671875
2023-12-13,262.9208984375
2023-12-14,257.9728088378906
2023-12-15,257.1606140136719
2023-12-18,257.1885986328125
2023-12-19,259.95208740234375
2023-12-20,256.90850830078125
2023-12-21,260.782958984375
2023-12-22,265.292236328125
2023-12-26,265.0495300292969
2023-12-27,267.5049133300781
2023-12-28,269.3067626953125
2023-12-29,268.8959655761719
2024-01-02,277.643798828125
2024-01-03,280.72467041015625
2024-01-04,283.0400695800781
2024-01-05,282.88134765625
2024-01-08,290.2381591796875
2024-01-09,286.8585205078125
2024-01-10,284.3470764160156
2024-01-11,282.9746398925781
2024-01-12,286.1582946777344
2024-01-16,283.3294372558594
2024-01-17,283.88958740234375
2024-01-18,284.2723388671875
