Date,COST
2023-01-03,434.4527282714844
2023-01-04,437.5965576171875
2023-01-05,431.4911193847656
2023-01-06,462.81378173828125
2023-01-09,458.8648681640625
2023-01-10,461.40484619140625
2023-01-11,464.1939697265625
2023-01-12,462.3919372558594
2023-01-13,465.0948791503906
2023-01-17,466.55169677734375
2023-01-18,459.5549621582031
2023-01-19,449.989501953125
2023-01-20,460.1683349609375
2023-01-23,472.149169921875
2023-01-24,471.669921875
2023-01-25,470.4910583496094
2023-01-26,477.6028137207031
2023-01-27,482.3855895996094
2023-01-30,482.37603759765625
2023-01-31,489.9095153808594
2023-02-01,496.3983459472656
2023-02-02,502.5623779296875
2023-02-03,494.2764587402344
2023-02-06,495.0350646972656
2023-02-07,495.93756103515625
2023-02-08,483.724609375
2023-02-09,480.6713562011719
2023-02-10,480.0568542480469
2023-02-13,486.25933837890625
2023-02-14,483.15814208984375
2023-02-15,490.89678955078125
2023-02-16,484.0030822753906
2023-02-17,487.2482604980469
2023-02-21,481.7370910644531
2023-02-22,477.560546875
2023-02-23,473.4800109863281
2023-02-24,469.13055419921875
2023-02-27,467.6135559082031
2023-02-28,464.8771667480469
2023-03-01,459.5868225097656
2023-03-02,466.3269958496094
2023-03-03,456.31280517578125
2023-03-06,463.821044921875
2023-03-07,465.8085021972656
2023-03-08,466.6630554199219
2023-03-09,460.4029846191406
2023-03-10,452.3570861816406
2023-03-13,453.1827697753906
2023-03-14,462.707275390625
2023-03-15,466.2982177734375
2023-03-16,467.83441162109375
2023-03-17,467.63275146484375
2023-03-20,469.7834777832031
2023-03-21,471.2812805175781
2023-03-22,468.0840148925781
2023-03-23,468.3144836425781
2023-03-24,475.5250549316406
2023-03-27,473.5567932128906
2023-03-28,467.3639221191406
2023-03-29,471.3004455566406
2023-03-30,471.88616943359375
2023-03-31,477.0612487792969
2023-04-03,477.2149353027344
2023-04-04,477.88702392578125
2023-04-05,477.3109436035156
2023-04-06,466.60546875
2023-04-10,474.1424560546875
2023-04-11,478.77032470703125
2023-04-12,469.8410339355469
2023-04-13,478.0406188964844
2023-04-14,471.7133483886719
2023-04-17,474.248046875
2023-04-18,477.0900573730469
2023-04-19,476.2547607421875
2023-04-20,485.4240417480469
2023-04-21,486.1633605957031
2023-04-24,491.03118896484375
2023-04-25,483.110107421875
2023-04-26,474.93939208984375
2023-04-27,481.285888671875
2023-04-28,483.15814208984375
2023-05-01,473.91204833984375
2023-05-02,475.0833740234375
2023-05-03,470.5227355957031
2023-05-04,471.7735595703125
2023-05-05,480.16339111328125
2023-05-08,480.16339111328125
2023-05-09,481.8278503417969
2023-05-10,480.7406921386719
2023-05-11,482.88629150390625
2023-05-12,484.98370361328125
2023-05-15,483.03057861328125
2023-05-16,477.363525390625
2023-05-17,476.25714111328125
2023-05-18,479.23974609375
2023-05-19,477.7195129394531
2023-05-22,473.24560546875
2023-05-23,466.5106201171875
2023-05-24,464.4805603027344
2023-05-25,468.1270446777344
2023-05-26,488.0528564453125
2023-05-30,488.79376220703125
2023-05-31,492.1900634765625
2023-06-01,493.190673828125
2023-06-02,493.1811218261719
2023-06-05,498.6267395019531
2023-06-06,496.7120666503906
2023-06-07,491.8725891113281
2023-06-08,500.3970947265625
2023-06-09,497.6935119628906
2023-06-12,501.2437438964844
2023-06-13,502.2540283203125
2023-06-14,507.2378845214844
2023-06-15,509.1429138183594
2023-06-16,503.82232666015625
2023-06-20,500.0218505859375
2023-06-21,499.94488525390625
2023-06-22,504.3514709472656
2023-06-23,504.58245849609375
2023-06-26,503.6010437011719
2023-06-27,510.24932861328125
2023-06-28,512.6256713867188
2023-06-29,511.55780029296875
2023-06-30,517.9945678710938
2023-07-03,520.5538330078125
2023-07-05,520.6405029296875
2023-07-06,517.0227661132812
2023-07-07,505.1693420410156
2023-07-10,507.0550231933594
2023-07-11,509.5855407714844
2023-07-12,517.6288452148438
2023-07-13,518.0619506835938
2023-07-14,525.9995727539062
2023-07-17,532.0225830078125
2023-07-18,532.628662109375
2023-07-19,533.1288452148438
2023-07-20,535.8710327148438
2023-07-21,536.7368774414062
2023-07-24,542.5770874023438
2023-07-25,543.7894287109375
2023-07-26,544.7322387695312
2023-07-27,540.5565795898438
2023-07-28,541.9901733398438
2023-07-31,539.4406127929688
2023-08-01,534.4374389648438
2023-08-02,531.4356079101562
2023-08-03,536.5733642578125
2023-08-04,531.1373901367188
2023-08-07,537.2660522460938
2023-08-08,535.06298828125
2023-08-09,538.5073852539062
2023-08-10,540.2294921875
2023-08-11,541.643798828125
2023-08-14,540.210205078125
2023-08-15,537.3623046875
2023-08-16,537.8818969726562
2023-08-17,526.3941040039062
2023-08-18,524.30615234375
2023-08-21,522.6417846679688
2023-08-22,517.9849853515625
2023-08-23,520.3806762695312
2023-08-24,512.5437622070312
2023-08-25,514.7608032226562
2023-08-28,516.8622436523438
2023-08-29,523.205078125
2023-08-30,522.71337890625
2023-08-31,529.4803466796875
2023-09-01,524.631591796875
2023-09-05,525.0943603515625
2023-09-06,526.983642578125
2023-09-07,528.84423828125
2023-09-08,531.3215942382812
2023-09-11,538.6380615234375
2023-09-12,538.6473999023438
2023-09-13,539.5825805664062
2023-09-14,544.412109375
2023-09-15,536.3051147460938
2023-09-18,542.4359130859375
2023-09-19,544.007080078125
2023-09-20,543.5059814453125
2023-09-21,535.0712280273438
2023-09-22,538.4548950195312
2023-09-25,538.483642578125
2023-09-26,533.0277709960938
2023-09-27,543.2167358398438
2023-09-28,548.1328735351562
2023-09-29,544.59521484375
2023-10-02,550.7161865234375
2023-10-03,544.6723022460938
2023-10-04,551.1885986328125
2023-10-05,548.9907836914062
2023-10-06,537.4329223632812
2023-10-09,538.8209838867188
2023-10-10,541.82861328125
2023-10-11,545.1349487304688
2023-10-12,543.457763671875
2023-10-13,546.4075317382812
2023-10-16,551.6126708984375
2023-10-17,553.6370849609375
2023-10-18,553.9262084960938
2023-10-19,545.2410278320312
2023-10-20,532.998779296875
2023-10-23,532.3818359375
2023-10-24,531.9480590820312
2023-10-25,530.1648559570312
2023-10-26,527.8609619140625
2023-10-27,523.4557495117188
2023-10-30,534.8786010742188
2023-10-31,532.5264892578125
2023-11-01,536.729248046875
2023-11-02,536.9126586914062
2023-11-03,541.673828125
2023-11-06,550.2880249023438
2023-11-07,551.6882934570312
2023-11-08,547.9317016601562
2023-11-09,543.9625854492188
2023-11-10,557.3377685546875
2023-11-13,558.4097290039062
2023-11-14,570.5489501953125
2023-11-15,576.3239135742188
2023-11-16,558.747802734375
2023-11-17,557.3668212890625
2023-11-20,560.8916625976562
2023-11-21,564.2716674804688
2023-11-22,568.887939453125
2023-11-24,571.0896606445312
2023-11-27,574.5084838867188
2023-11-28,573.6392211914062
2023-11-29,567.7096557617188
2023-11-30,572.4222412109375
2023-12-01,575.81201171875
2023-12-04,578.5450439453125
2023-12-05,584.60009765625
2023-12-06,586.60888671875
2023-12-07,590.0082397460938
2023-12-08,589.843994140625
2023-12-11,602.4756469726562
2023-12-12,607.92236328125
2023-12-13,619.993896484375
2023-12-14,609.1585083007812
2023-12-15,636.2374267578125
2023-12-18,657.8887939453125
2023-12-19,654.5087280273438
2023-12-20,638.3426513671875
2023-12-21,642.3600463867188
2023-12-22,648.5792236328125
2023-12-26,651.495849609375
2023-12-27,658.5873413085938
2023-12-28,654.9329223632812
2023-12-29,651.9501342773438
2024-01-02,642.6361694335938
2024-01-03,636.7496948242188
2024-01-04,640.364501953125
2024-01-05,647.93017578125
2024-01-08,653.5403442382812
2024-01-09,658.9625244140625
2024-01-10,664.473876953125
2024-01-11,665.2838745117188
2024-01-12,674.8248291015625
2024-01-16,673.096435546875
2024-01-17,675.7630615234375
2024-01-18,678.8446655273438
2024-01-19,686.4103393554688
2024-01-22,683.9805908203125
2024-01-23,679.1212768554688
2024-01-24,678.0546875
2024-01-25,671.5260009765625
2024-01-26,678.4200439453125
2024-01-29,685.4622192382812
2024-01-30,692.1093139648438
2024-01-31,686.3214111328125
2024-02-01,696.8261108398438
2024-02-02,701.771728515625
2024-02-05,703.4334106445312
2024-02-06,703.0675659179688
2024-02-07,711.9598999023438
2024-02-08,716.2921752929688
2024-02-09,715.54052734375
2024-02-12,714.5612182617188
2024-02-13,706.4899291992188
2024-02-14,714.333740234375
