Date,MSFT
2023-01-03,233.45278930664062
2023-01-04,223.24082946777344
2023-01-05,216.62448120117188
2023-01-06,219.17747497558594
2023-01-09,221.3114471435547
2023-01-10,222.9972381591797
2023-01-11,229.74026489257812
2023-01-12,232.41012573242188
2023-01-13,233.1117401123047
2023-01-17,234.203125
2023-01-18,229.77920532226562
2023-01-19,225.9984588623047
2023-01-20,234.0764617919922
2023-01-23,236.37606811523438
2023-01-24,235.8498992919922
2023-01-25,234.45643615722656
2023-01-26,241.657470703125
2023-01-27,241.81336975097656
2023-01-30,236.50277709960938
2023-01-31,241.47232055664062
2023-02-01,246.28598022460938
2023-02-02,257.8329772949219
2023-02-03,251.7427520751953
2023-02-06,250.2031707763672
2023-02-07,260.7171630859375
2023-02-08,259.9084167480469
2023-02-09,256.87799072265625
2023-02-10,256.371337890625
2023-02-13,264.38104248046875
2023-02-14,265.2093200683594
2023-02-15,263.08953857421875
2023-02-16,256.08538818359375
2023-02-17,252.08998107910156
2023-02-21,246.82472229003906
2023-02-22,245.69154357910156
2023-02-23,248.87612915039062
2023-02-24,243.45452880859375
2023-02-27,244.372802734375
2023-02-28,243.64990234375
2023-03-01,240.57276916503906
2023-03-02,245.3008270263672
2023-03-03,249.3841094970703
2023-03-06,250.9275360107422
2023-03-07,248.27044677734375
2023-03-08,247.83087158203125
2023-03-09,246.48280334472656
2023-03-10,242.83908081054688
2023-03-13,248.04579162597656
2023-03-14,254.7568817138672
2023-03-15,259.29925537109375
2023-03-16,269.8104248046875
2023-03-17,272.9656677246094
2023-03-20,265.9322204589844
2023-03-21,267.4462890625
2023-03-22,265.9908142089844
2023-03-23,271.236572265625
2023-03-24,274.07928466796875
2023-03-27,269.9861755371094
2023-03-28,268.86285400390625
2023-03-29,274.0206298828125
2023-03-30,277.47869873046875
2023-03-31,281.6304016113281
2023-04-03,280.5851745605469
2023-04-04,280.536376953125
2023-04-05,277.7620544433594
2023-04-06,284.8541259765625
2023-04-10,282.6952209472656
2023-04-11,276.28692626953125
2023-04-12,276.9316711425781
2023-04-13,283.1348571777344
2023-04-14,279.52044677734375
2023-04-17,282.1188659667969
2023-04-18,281.69879150390625
2023-04-19,281.7769775390625
2023-04-20,279.4910888671875
2023-04-21,279.14923095703125
2023-04-24,275.25146484375
2023-04-25,269.0484313964844
2023-04-26,288.536865234375
2023-04-27,297.7780456542969
2023-04-28,300.15179443359375
2023-05-01,298.49114990234375
2023-05-02,298.3446044921875
2023-05-03,297.35797119140625
2023-05-04,298.3446044921875
2023-05-05,303.46337890625
2023-05-08,301.5096740722656
2023-05-09,299.8978271484375
2023-05-10,305.0849914550781
2023-05-11,302.93585205078125
2023-05-12,301.82220458984375
2023-05-15,302.30096435546875
2023-05-16,304.5282287597656
2023-05-17,307.40643310546875
2023-05-18,311.83154296875
2023-05-19,311.65533447265625
2023-05-22,314.4356689453125
2023-05-23,308.6400146484375
2023-05-24,307.2596130371094
2023-05-25,319.07611083984375
2023-05-26,325.8997497558594
2023-05-30,324.2550354003906
2023-05-31,321.4942626953125
2023-06-01,325.59625244140625
2023-06-02,328.3570861816406
2023-06-05,328.8857727050781
2023-06-06,326.6731872558594
2023-06-07,316.58953857421875
2023-06-08,318.42999267578125
2023-06-09,319.9278869628906
2023-06-12,324.881591796875
2023-06-13,327.27032470703125
2023-06-14,330.25634765625
2023-06-15,340.7903747558594
2023-06-16,335.1415710449219
2023-06-20,330.95135498046875
2023-06-21,326.55572509765625
2023-06-22,332.5765380859375
2023-06-23,327.98504638671875
2023-06-26,321.6998596191406
2023-06-27,327.5445251464844
2023-06-28,328.7976379394531
2023-06-29,328.01446533203125
2023-06-30,333.3891296386719
2023-07-03,330.8927307128906
2023-07-05,331.04925537109375
2023-07-06,334.10382080078125
2023-07-07,330.13885498046875
2023-07-10,324.8619689941406
2023-07-11,325.4886169433594
2023-07-12,330.1192626953125
2023-07-13,335.4645690917969
2023-07-14,337.99041748046875
2023-07-17,338.4701843261719
2023-07-18,351.94122314453125
