Date,TMO
2023-01-03,548.2677612304688
2023-01-04,556.9301147460938
2023-01-05,551.994384765625
2023-01-06,530.2491455078125
2023-01-09,541.2406005859375
2023-01-10,562.9859008789062
2023-01-11,577.3868408203125
2023-01-12,576.3758544921875
2023-01-13,578.6553955078125
2023-01-17,582.6398315429688
2023-01-18,574.8989868164062
2023-01-19,578.6752319335938
2023-01-20,588.38818359375
2023-01-23,599.4490966796875
2023-01-24,575.5631713867188
2023-01-25,570.2110595703125
2023-01-26,572.2427978515625
2023-01-27,568.5361328125
2023-01-30,559.279052734375
2023-01-31,565.265380859375
2023-02-01,582.1442260742188
2023-02-02,581.8568115234375
2023-02-03,582.5405883789062
2023-02-06,571.0535888671875
2023-02-07,577.9716796875
2023-02-08,574.08642578125
2023-02-09,563.8778686523438
2023-02-10,566.3358154296875
2023-02-13,569.8939208984375
2023-02-14,566.4051513671875
2023-02-15,561.7964477539062
2023-02-16,552.628662109375
2023-02-17,554.7298583984375
2023-02-21,545.8792114257812
2023-02-22,543.5302124023438
2023-02-23,546.0576171875
2023-02-24,537.9699096679688
2023-02-27,536.5427856445312
2023-02-28,536.9490356445312
2023-03-01,533.7378540039062
2023-03-02,543.8770751953125
2023-03-03,554.4720458984375
2023-03-06,553.5602416992188
2023-03-07,543.956298828125
2023-03-08,549.8237915039062
2023-03-09,548.2974243164062
2023-03-10,539.000732421875
2023-03-13,536.7507934570312
2023-03-14,551.37939453125
2023-03-15,538.2286376953125
2023-03-16,552.5001220703125
2023-03-17,542.8303833007812
2023-03-20,546.0337524414062
2023-03-21,552.11328125
2023-03-22,549.7528076171875
2023-03-23,550.6157836914062
2023-03-24,553.6604614257812
2023-03-27,557.0621948242188
2023-03-28,549.6635131835938
2023-03-29,550.5761108398438
2023-03-30,558.3317260742188
2023-03-31,571.6212158203125
2023-04-03,565.3731079101562
2023-04-04,571.4327392578125
2023-04-05,575.0823364257812
2023-04-06,570.6094970703125
2023-04-10,569.6277465820312
2023-04-11,571.631103515625
2023-04-12,574.5765991210938
2023-04-13,586.2595825195312
2023-04-14,583.988525390625
2023-04-17,583.7504272460938
2023-04-18,580.041259765625
2023-04-19,575.1419067382812
2023-04-20,561.2671508789062
2023-04-21,566.9698486328125
2023-04-24,569.5682983398438
2023-04-25,543.86181640625
2023-04-26,528.7374267578125
