Date,CVX
2023-01-03,151.9012908935547
2023-01-04,150.2861785888672
2023-01-05,152.9925994873047
2023-01-06,154.14501953125
2023-01-09,152.9402313232422
2023-01-10,153.69102478027344
2023-01-11,152.95767211914062
2023-01-12,154.59902954101562
2023-01-13,155.01805114746094
2023-01-17,157.57611083984375
2023-01-18,154.72996520996094
2023-01-19,156.27523803710938
2023-01-20,157.9340362548828
2023-01-23,157.72450256347656
2023-01-24,157.8729248046875
2023-01-25,156.3450927734375
2023-01-26,163.9493408203125
2023-01-27,156.6681365966797
2023-01-30,152.08460998535156
2023-01-31,151.92745971679688
2023-02-01,149.60516357421875
2023-02-02,147.55352783203125
2023-02-03,147.9376678466797
2023-02-06,148.10353088378906
2023-02-07,151.98861694335938
2023-02-08,148.41781616210938
2023-02-09,147.05589294433594
2023-02-10,150.13775634765625
2023-02-13,149.2996063232422
2023-02-14,150.44329833984375
2023-02-15,148.85792541503906
2023-02-16,146.70887756347656
2023-02-17,143.43243408203125
2023-02-21,141.80299377441406
2023-02-22,141.2305145263672
2023-02-23,142.6221160888672
2023-02-24,143.0448760986328
2023-02-27,143.40602111816406
2023-02-28,141.60044860839844
2023-03-01,142.7278289794922
2023-03-02,143.17701721191406
2023-03-03,145.2908477783203
2023-03-06,146.35655212402344
2023-03-07,144.47174072265625
2023-03-08,143.5557403564453
2023-03-09,141.37144470214844
2023-03-10,140.631591796875
2023-03-13,139.78607177734375
2023-03-14,141.59165954589844
2023-03-15,135.46153259277344
2023-03-16,135.89306640625
2023-03-17,134.1755828857422
2023-03-20,136.14849853515625
2023-03-21,140.3144989013672
2023-03-22,137.46083068847656
2023-03-23,136.0956268310547
2023-03-24,137.4520263671875
2023-03-27,138.85244750976562
2023-03-28,140.4730682373047
2023-03-29,141.67970275878906
2023-03-30,143.0272674560547
2023-03-31,143.70547485351562
2023-04-03,149.68582153320312
2023-04-04,148.88433837890625
2023-04-05,149.62420654296875
2023-04-06,147.66009521484375
2023-04-10,148.22378540039062
2023-04-11,149.0428924560547
2023-04-12,149.5713653564453
2023-04-13,151.5706787109375
2023-04-14,151.8789520263672
2023-04-17,150.54017639160156
2023-04-18,150.18789672851562
2023-04-19,150.3287811279297
2023-04-20,149.59776306152344
2023-04-21,148.9547882080078
2023-04-24,151.03341674804688
2023-04-25,148.84030151367188
2023-04-26,146.189208984375
2023-04-27,147.04354858398438
2023-04-28,148.4792022705078
2023-05-01,147.2989959716797
2023-05-02,140.9574737548828
2023-05-03,138.13023376464844
2023-05-04,137.59295654296875
2023-05-05,141.10720825195312
2023-05-08,140.55233764648438
2023-05-09,140.14718627929688
2023-05-10,138.3592071533203
2023-05-11,137.59295654296875
2023-05-12,137.9452667236328
2023-05-15,138.45611572265625
2023-05-16,135.2060546875
2023-05-17,137.14376831054688
2023-05-18,136.97479248046875
2023-05-19,138.05984497070312
