Date,USB
2023-01-03,38.70016860961914
2023-01-04,39.905216217041016
2023-01-05,39.593116760253906
2023-01-06,40.14796447753906
2023-01-09,40.40803527832031
2023-01-10,40.45138931274414
2023-01-11,40.841514587402344
2023-01-12,41.25764465332031
2023-01-13,41.032230377197266
2023-01-17,41.127593994140625
2023-01-18,39.71449279785156
2023-01-19,39.558441162109375
2023-01-20,40.27799606323242
2023-01-23,41.32699203491211
2023-01-24,40.460052490234375
2023-01-25,42.61006546020508
2023-01-26,42.21994400024414
2023-01-27,42.3586540222168
2023-01-30,42.306636810302734
2023-01-31,43.1735725402832
2023-02-01,42.670745849609375
2023-02-02,42.61006546020508
2023-02-03,42.7401008605957
2023-02-06,42.436676025390625
2023-02-07,43.06087112426758
2023-02-08,42.540706634521484
2023-02-09,42.2806282043457
2023-02-10,42.21994400024414
2023-02-13,42.558048248291016
2023-02-14,42.59272766113281
2023-02-15,42.54937744140625
2023-02-16,42.089900970458984
2023-02-17,42.13324737548828
2023-02-21,41.344337463378906
2023-02-22,41.21429443359375
2023-02-23,41.37034606933594
2023-02-24,41.300987243652344
2023-02-27,41.24897384643555
2023-02-28,41.3790168762207
2023-03-01,41.014896392822266
2023-03-02,40.14796447753906
2023-03-03,40.841514587402344
2023-03-06,40.85017776489258
2023-03-07,39.53242874145508
2023-03-08,39.437076568603516
2023-03-09,36.67152786254883
2023-03-10,35.21508026123047
2023-03-13,31.67796516418457
2023-03-14,32.518890380859375
2023-03-15,30.72432518005371
2023-03-16,31.52191162109375
2023-03-17,28.565645217895508
2023-03-20,29.866058349609375
2023-03-21,32.52756118774414
2023-03-22,30.16082000732422
2023-03-23,30.3948917388916
2023-03-24,30.25617790222168
2023-03-27,30.23017120361328
2023-03-28,30.828357696533203
2023-03-29,31.400545120239258
2023-03-30,31.145755767822266
2023-03-31,31.67289924621582
2023-04-03,31.31267547607422
2023-04-04,30.803104400634766
2023-04-05,30.847030639648438
2023-04-06,31.409324645996094
2023-04-10,31.286319732666016
2023-04-11,31.216033935546875
2023-04-12,31.10182762145996
2023-04-13,31.084247589111328
2023-04-14,30.724029541015625
2023-04-17,31.26875877380371
2023-04-18,30.917316436767578
2023-04-19,31.637758255004883
2023-04-20,30.53952407836914
2023-04-21,29.45008659362793
2023-04-24,28.80872344970703
2023-04-25,27.912569046020508
2023-04-26,27.692920684814453
2023-04-27,28.615434646606445
2023-04-28,30.117807388305664
2023-05-01,28.940505981445312
2023-05-02,26.910980224609375
2023-05-03,26.181758880615234
2023-05-04,25.461322784423828
2023-05-05,27.007627487182617
2023-05-08,26.129045486450195
2023-05-09,26.278404235839844
2023-05-10,25.874256134033203
2023-05-11,25.408607482910156
2023-05-12,25.593107223510742
2023-05-15,26.049970626831055
2023-05-16,25.1977481842041
2023-05-17,26.752838134765625
2023-05-18,26.787979125976562
2023-05-19,26.454118728637695
2023-05-22,27.156982421875
2023-05-23,27.359058380126953
2023-05-24,27.069128036499023
2023-05-25,26.805553436279297
2023-05-26,26.946128845214844
2023-05-30,26.937339782714844
2023-05-31,26.269617080688477
2023-06-01,26.814340591430664
2023-06-02,27.88620948791504
2023-06-05,27.429344177246094
2023-06-06,28.668149948120117
2023-06-07,29.221649169921875
2023-06-08,29.045936584472656
2023-06-09,28.870220184326172
2023-06-12,28.25521469116211
2023-06-13,28.72964859008789
2023-06-14,28.202499389648438
2023-06-15,29.248016357421875
2023-06-16,29.388582229614258
2023-06-20,29.502805709838867
2023-06-21,29.371015548706055
2023-06-22,28.316713333129883
2023-06-23,28.00920867919922
2023-06-26,28.395784378051758
2023-06-27,28.59786033630371
2023-06-28,28.395784378051758
2023-06-29,29.216266632080078
2023-06-30,29.465980529785156
2023-07-03,29.947572708129883
2023-07-05,29.902971267700195
2023-07-06,29.4213924407959
2023-07-07,29.911890029907227
2023-07-10,30.09026336669922
2023-07-11,31.142614364624023
2023-07-12,31.312063217163086
2023-07-13,31.936342239379883
2023-07-14,31.508268356323242
2023-07-17,31.44583511352539
2023-07-18,32.59629821777344
2023-07-19,34.701011657714844
2023-07-20,34.906124114990234
2023-07-21,34.26401901245117
2023-07-24,35.01314163208008
2023-07-25,33.764591217041016
2023-07-26,34.68317413330078
2023-07-27,34.62074279785156
2023-07-28,35.26286697387695
2023-07-31,35.387718200683594
2023-08-01,34.52264404296875
2023-08-02,34.27293395996094
2023-08-03,35.182594299316406
2023-08-04,35.548248291015625
2023-08-07,35.78011703491211
2023-08-08,35.87821578979492
2023-08-09,35.3609619140625
2023-08-10,35.218265533447266
2023-08-11,35.19150924682617
2023-08-14,34.531558990478516
2023-08-15,33.568389892578125
2023-08-16,33.042205810546875
2023-08-17,32.82816696166992
2023-08-18,32.85491943359375
2023-08-21,32.78357696533203
2023-08-22,31.963098526000977
2023-08-23,32.3287467956543
2023-08-24,32.22172927856445
2023-08-25,31.66878890991211
2023-08-28,32.12362289428711
2023-08-29,32.533870697021484
2023-08-30,32.44469451904297
2023-08-31,32.57845687866211
2023-09-01,33.06004333496094
2023-09-05,32.56954574584961
2023-09-06,32.21281433105469
2023-09-07,31.775815963745117
2023-09-08,32.203887939453125
2023-09-11,32.284156799316406
2023-09-12,32.99761199951172
2023-09-13,31.347742080688477
2023-09-14,31.856077194213867
2023-09-15,31.347742080688477
2023-09-18,30.99100685119629
2023-09-19,30.848312377929688
2023-09-20,30.687786102294922
2023-09-21,29.831626892089844
2023-09-22,29.769201278686523
2023-09-25,29.95648193359375
2023-09-26,29.44814109802246
2023-09-27,29.00223159790039
2023-09-28,29.391460418701172
2023-09-29,29.925521850585938
2023-10-02,29.092748641967773
2023-10-03,28.368600845336914
2023-10-04,28.278079986572266
2023-10-05,28.848346710205078
2023-10-06,28.839296340942383
2023-10-09,28.975069046020508
2023-10-10,29.500085830688477
2023-10-11,29.427669525146484
2023-10-12,29.201370239257812
2023-10-13,29.119901657104492
2023-10-16,29.527238845825195
2023-10-17,31.582019805908203
2023-10-18,30.20612907409668
2023-10-19,29.644914627075195
2023-10-20,27.997472763061523
2023-10-23,28.296184539794922
2023-10-24,28.413856506347656
2023-10-25,28.32333755493164
2023-10-26,28.757831573486328
2023-10-27,27.734968185424805
2023-10-30,28.341442108154297
2023-10-31,28.857398986816406
2023-11-01,28.839296340942383
2023-11-02,31.08416175842285
2023-11-03,32.12513732910156
2023-11-06,31.925987243652344
2023-11-07,31.509605407714844
2023-11-08,31.23804473876953
