Date,CMCSA
2023-01-03,30.17753028869629
2023-01-04,31.042896270751953
2023-01-05,31.373777389526367
2023-01-06,32.145816802978516
2023-01-09,31.85736083984375
2023-01-10,32.13733673095703
2023-01-11,32.19671630859375
2023-01-12,32.82453155517578
2023-01-13,33.02814865112305
2023-01-17,33.036643981933594
2023-01-18,32.47669219970703
2023-01-19,32.357913970947266
2023-01-20,33.40144348144531
2023-01-23,34.15652084350586
2023-01-24,33.72383117675781
2023-01-25,34.02077102661133
2023-01-26,34.28377914428711
2023-01-27,33.59657669067383
2023-01-30,33.2911491394043
2023-01-31,33.384483337402344
2023-02-01,33.910484313964844
2023-02-02,34.877655029296875
2023-02-03,33.910484313964844
2023-02-06,33.52022171020508
2023-02-07,33.655967712402344
2023-02-08,32.8839225769043
2023-02-09,32.15430450439453
2023-02-10,32.54456329345703
2023-02-13,33.16389846801758
2023-02-14,33.13844299316406
2023-02-15,33.44386291503906
2023-02-16,33.698387145996094
2023-02-17,33.18935012817383
2023-02-21,32.1033935546875
2023-02-22,32.24761962890625
2023-02-23,31.976133346557617
2023-02-24,31.39073371887207
2023-02-27,31.687671661376953
2023-02-28,31.53496742248535
2023-03-01,31.076839447021484
2023-03-02,31.34831428527832
2023-03-03,31.585874557495117
2023-03-06,31.458616256713867
2023-03-07,30.703536987304688
2023-03-08,30.457500457763672
2023-03-09,30.092693328857422
2023-03-10,29.95694923400879
2023-03-13,30.12662696838379
2023-03-14,29.931495666503906
2023-03-15,30.449024200439453
2023-03-16,30.74595832824707
2023-03-17,30.567790985107422
2023-03-20,30.907155990600586
2023-03-21,31.38225555419922
2023-03-22,30.712024688720703
2023-03-23,30.51689338684082
2023-03-24,30.47446632385254
2023-03-27,30.88170051574707
2023-03-28,30.924121856689453
2023-03-29,31.34831428527832
2023-03-30,31.518001556396484
2023-03-31,32.16278076171875
2023-04-03,32.24761962890625
2023-04-04,32.290367126464844
2023-04-05,32.418601989746094
2023-04-06,32.22197341918945
2023-04-10,32.683631896972656
2023-04-11,32.81187057495117
2023-04-12,32.17923355102539
2023-04-13,32.52975082397461
2023-04-14,32.45280456542969
2023-04-17,32.56393814086914
2023-04-18,32.717830657958984
2023-04-19,32.70072937011719
2023-04-20,32.256168365478516
2023-04-21,32.26472091674805
2023-04-24,31.811613082885742
2023-04-25,31.54659080505371
2023-04-26,31.221717834472656
2023-04-27,34.427669525146484
2023-04-28,35.36808395385742
2023-05-01,35.59891128540039
2023-05-02,35.222747802734375
2023-05-03,34.957725524902344
2023-05-04,34.38492202758789
2023-05-05,34.56446075439453
2023-05-08,34.70124435424805
2023-05-09,33.87196731567383
2023-05-10,34.077152252197266
2023-05-11,34.51316452026367
2023-05-12,34.37637710571289
2023-05-15,34.36782455444336
2023-05-16,33.97456359863281
2023-05-17,34.44476318359375
2023-05-18,35.3167839050293
2023-05-19,35.20564651489258
2023-05-22,35.25694274902344
2023-05-23,34.52171325683594
2023-05-24,34.17974090576172
2023-05-25,33.418861389160156
2023-05-26,33.75228500366211
2023-05-30,33.47871017456055
2023-05-31,33.64114761352539
2023-06-01,33.37611770629883
2023-06-02,33.50435256958008
2023-06-05,34.017303466796875
2023-06-06,33.73517990112305
2023-06-07,34.49605941772461
2023-06-08,34.598655700683594
2023-06-09,34.39347457885742
2023-06-12,34.786739349365234
2023-06-13,34.77819061279297
2023-06-14,34.914981842041016
2023-06-15,35.453575134277344
2023-06-16,35.222747802734375
2023-06-20,34.74399185180664
2023-06-21,34.726890563964844
2023-06-22,34.692691802978516
2023-06-23,34.27379608154297
2023-06-26,34.67559814453125
2023-06-27,35.46213150024414
2023-06-28,35.62456130981445
2023-06-29,35.453575134277344
2023-06-30,35.521968841552734
2023-07-03,35.952430725097656
2023-07-05,35.71137619018555
2023-07-06,35.47892761230469
2023-07-07,35.6683235168457
2023-07-10,36.0299186706543
2023-07-11,36.167659759521484
2023-07-12,36.451778411865234
2023-07-13,36.641178131103516
2023-07-14,36.167659759521484
2023-07-17,36.236541748046875
2023-07-18,36.53786849975586
2023-07-19,36.770320892333984
2023-07-20,37.200782775878906
2023-07-21,36.92529296875
2023-07-24,37.269657135009766
2023-07-25,37.278263092041016
2023-07-26,36.9425048828125
2023-07-27,39.043174743652344
2023-07-28,38.93986129760742
2023-07-31,38.96569061279297
2023-08-01,39.00874328613281
2023-08-02,38.8193359375
2023-08-03,38.88820266723633
2023-08-04,38.60409927368164
2023-08-07,39.1292724609375
2023-08-08,39.08621597290039
2023-08-09,38.982906341552734
2023-08-10,39.54250717163086
2023-08-11,39.62860870361328
2023-08-14,40.084896087646484
2023-08-15,40.489532470703125
2023-08-16,39.8954963684082
2023-08-17,39.80939865112305
2023-08-18,39.39615249633789
2023-08-21,39.48225021362305
2023-08-22,39.232582092285156
2023-08-23,39.13787841796875
2023-08-24,38.94847106933594
2023-08-25,39.146484375
2023-08-28,39.5855598449707
2023-08-29,40.27430725097656
2023-08-30,40.567020416259766
2023-08-31,40.25708770751953
2023-09-01,39.370330810546875
2023-09-05,38.363037109375
2023-09-06,38.681583404541016
2023-09-07,38.60409927368164
2023-09-08,38.767677307128906
2023-09-11,38.96569061279297
2023-09-12,38.90542984008789
2023-09-13,38.90542984008789
2023-09-14,39.57695007324219
2023-09-15,39.03456115722656
2023-09-18,39.292842864990234
2023-09-19,39.370330810546875
2023-09-20,39.17231750488281
2023-09-21,39.34449768066406
2023-09-22,39.000125885009766
2023-09-25,38.629920959472656
2023-09-26,38.0875358581543
2023-09-27,38.39748001098633
2023-09-28,38.62131881713867
2023-09-29,38.17363357543945
2023-10-02,38.30278015136719
2023-10-03,37.65283966064453
2023-10-04,37.6701774597168
2023-10-05,37.28021240234375
2023-10-06,37.6701774597168
2023-10-09,38.20744705200195
2023-10-10,38.536746978759766
2023-10-11,38.337432861328125
2023-10-12,38.04280471801758
2023-10-13,37.96480178833008
2023-10-16,38.346107482910156
2023-10-17,38.44142150878906
2023-10-18,38.14679718017578
2023-10-19,37.323543548583984
2023-10-20,37.14155578613281
2023-10-23,37.21088409423828
2023-10-24,37.661502838134766
2023-10-25,37.04623794555664
2023-10-26,33.92654800415039
2023-10-27,34.35118103027344
2023-10-30,35.05310821533203
2023-10-31,35.78103256225586
2023-11-01,36.240318298339844
2023-11-02,36.829586029052734
2023-11-03,37.41886520385742
2023-11-06,36.794925689697266
2023-11-07,36.430965423583984
2023-11-08,35.980350494384766
2023-11-09,35.42573165893555
2023-11-10,36.318302154541016
2023-11-13,35.95433807373047
2023-11-14,36.28364181518555
2023-11-15,36.855587005615234
2023-11-16,36.7515983581543
2023-11-17,36.76025390625
2023-11-20,37.21088409423828
2023-11-21,36.9162483215332
2023-11-22,36.812255859375
2023-11-24,36.89891815185547
2023-11-27,36.47428894042969
2023-11-28,36.28364181518555
2023-11-29,36.07566833496094
2023-11-30,36.30097198486328
2023-12-01,36.57828140258789
2023-12-04,37.33220291137695
2023-12-05,36.05833053588867
2023-12-06,36.127662658691406
2023-12-07,36.543617248535156
2023-12-08,36.48296356201172
2023-12-11,36.96824264526367
2023-12-12,36.976905822753906
2023-12-13,37.84348678588867
2023-12-14,38.68406677246094
2023-12-15,38.5454216003418
2023-12-18,38.73605728149414
2023-12-19,38.73605728149414
2023-12-20,38.30278015136719
2023-12-21,38.14679718017578
2023-12-22,38.12945556640625
2023-12-26,38.06879425048828
2023-12-27,38.12078857421875
2023-12-28,38.23344802856445
2023-12-29,37.99946975708008
2024-01-02,38.095428466796875
2024-01-03,37.78137969970703
2024-01-04,37.18818283081055
2024-01-05,37.54584503173828
2024-01-08,38.147762298583984
2024-01-09,37.755210876464844
2024-01-10,37.929683685302734
2024-01-11,37.746482849121094
2024-01-12,37.50223159790039
2024-01-16,37.58946228027344
2024-01-17,36.943931579589844
2024-01-18,37.109676361083984
2024-01-19,37.81627655029297
2024-01-22,38.05180740356445
2024-01-23,38.33968734741211
2024-01-24,38.208831787109375
2024-01-25,39.491180419921875
2024-01-26,40.35481262207031
2024-01-29,40.22395324707031
2024-01-30,40.69502639770508
2024-01-31,40.59906768798828
2024-02-01,40.76481246948242
