Date,WMT
2023-01-03,46.147396087646484
2023-01-04,46.19880294799805
2023-01-05,46.04133605957031
2023-01-06,47.1693115234375
2023-01-09,46.58122634887695
2023-01-10,46.55229568481445
2023-01-11,46.960426330566406
2023-01-12,46.536231994628906
2023-01-13,46.690486907958984
2023-01-17,46.40768814086914
2023-01-18,45.26042938232422
2023-01-19,44.614501953125
2023-01-20,45.164024353027344
2023-01-23,45.8388786315918
2023-01-24,45.96099853515625
2023-01-25,45.74247360229492
2023-01-26,45.70069122314453
2023-01-27,46.050987243652344
2023-01-30,45.6814079284668
2023-01-31,46.23415756225586
2023-02-01,46.491241455078125
2023-02-02,46.153812408447266
2023-02-03,45.54001235961914
2023-02-06,45.20901107788086
2023-02-07,45.305423736572266
2023-02-08,45.061187744140625
2023-02-09,45.47895431518555
2023-02-10,46.18594741821289
2023-02-13,46.88972091674805
2023-02-14,46.754764556884766
2023-02-15,47.10182571411133
2023-02-16,46.36269760131836
2023-02-17,47.06005859375
2023-02-21,47.3460578918457
2023-02-22,46.353057861328125
2023-02-23,45.662132263183594
2023-02-24,45.78425216674805
2023-02-27,45.4532470703125
2023-02-28,45.674983978271484
2023-03-01,45.038700103759766
2023-03-02,45.15116882324219
2023-03-03,45.2057991027832
2023-03-06,45.19937515258789
2023-03-07,44.749473571777344
2023-03-08,44.37990188598633
2023-03-09,44.08103561401367
2023-03-10,44.016761779785156
2023-03-13,44.14530944824219
2023-03-14,44.37990188598633
2023-03-15,44.87480163574219
2023-03-16,44.6198844909668
2023-03-17,44.98128128051758
2023-03-20,45.465301513671875
2023-03-21,45.31041717529297
2023-03-22,45.0200080871582
2023-03-23,45.3846321105957
2023-03-24,45.75571060180664
2023-03-27,46.52045440673828
2023-03-28,46.33975601196289
2023-03-29,46.53982162475586
2023-03-30,47.00447082519531
2023-03-31,47.57883834838867
2023-04-03,47.97896194458008
2023-04-04,47.50784683227539
2023-04-05,48.29518127441406
2023-04-06,48.65980911254883
2023-04-10,48.566226959228516
2023-04-11,48.42425537109375
2023-04-12,48.18869400024414
2023-04-13,48.23710632324219
2023-04-14,47.91119384765625
2023-04-17,48.24677658081055
2023-04-18,48.35326385498047
2023-04-19,48.40488815307617
2023-04-20,48.71466827392578
2023-04-21,48.959896087646484
2023-04-24,49.29225540161133
2023-04-25,48.90827178955078
2023-04-26,48.69529724121094
2023-04-27,48.84695816040039
2023-04-28,48.71466827392578
2023-05-01,48.91471862792969
2023-05-02,48.78242874145508
2023-05-03,48.60173034667969
2023-05-04,48.73775863647461
2023-05-05,49.158843994140625
2023-05-08,49.46654510498047
2023-05-09,49.55076217651367
2023-05-10,49.41148376464844
2023-05-11,49.59611129760742
2023-05-12,49.57991409301758
2023-05-15,49.1944694519043
2023-05-16,48.51427459716797
2023-05-17,48.433292388916016
2023-05-18,49.06167221069336
2023-05-19,48.55638122558594
2023-05-22,48.128822326660156
2023-05-23,48.03813552856445
2023-05-24,47.81787872314453
2023-05-25,47.34174346923828
2023-05-26,47.42595672607422
2023-05-30,47.309356689453125
2023-05-31,47.57171630859375
2023-06-01,47.74661636352539
2023-06-02,48.203330993652344
2023-06-05,48.520748138427734
2023-06-06,48.51427459716797
2023-06-07,48.585533142089844
2023-06-08,49.28839874267578
2023-06-09,49.58639144897461
2023-06-12,49.91353988647461
2023-06-13,50.30221939086914
2023-06-14,50.81074905395508
2023-06-15,51.08930969238281
2023-06-16,50.37672424316406
2023-06-20,49.93296813964844
2023-06-21,50.030147552490234
2023-06-22,50.44798278808594
2023-06-23,50.354042053222656
2023-06-26,50.22124481201172
2023-06-27,50.03985595703125
2023-06-28,50.31193542480469
2023-06-29,49.971839904785156
2023-06-30,50.91115951538086
2023-07-03,51.24154281616211
2023-07-05,51.21238708496094
2023-07-06,50.88848114013672
2023-07-07,49.71595001220703
2023-07-10,50.16617965698242
2023-07-11,50.091678619384766
2023-07-12,50.21800231933594
2023-07-13,49.92325210571289
2023-07-14,50.09492492675781
2023-07-17,50.15646743774414
2023-07-18,50.065773010253906
2023-07-19,50.081966400146484
2023-07-20,51.008323669433594
2023-07-21,51.296600341796875
2023-07-24,51.59783172607422
2023-07-25,51.555721282958984
2023-07-26,51.7403564453125
2023-07-27,51.552486419677734
2023-07-28,51.79541778564453
2023-07-31,51.77922439575195
2023-08-01,51.536293029785156
2023-08-02,51.57191848754883
2023-08-03,51.584877014160156
2023-08-04,51.28688430786133
2023-08-07,51.983280181884766
2023-08-08,52.035099029541016
2023-08-09,52.119319915771484
2023-08-10,52.09330749511719
2023-08-11,52.39886474609375
2023-08-14,52.00879669189453
2023-08-15,51.74225616455078
2023-08-16,51.76825714111328
2023-08-17,50.607810974121094
2023-08-18,51.3359375
2023-08-21,51.19941711425781
2023-08-22,51.03688430786133
2023-08-23,51.39119338989258
2023-08-24,50.99787521362305
2023-08-25,51.3001823425293
2023-08-28,51.59272766113281
2023-08-29,52.025047302246094
2023-08-30,52.39886474609375
2023-08-31,52.85719680786133
2023-09-01,52.51913833618164
2023-09-05,52.096561431884766
2023-09-06,52.48663330078125
2023-09-07,53.136741638183594
